0000000101;scans;0000000054;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";10:46:06
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Faraday";"mass";31,00;33,00;0,02;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";0;"%"
"electron-energy";70,0;"V"
"emission";1000,000;"uA"
"focus";-90;"V"
"mass";40,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Faraday torr"
0000000001;00:00:01;0000001001;  31,00;  1,34374e-10
0000000001;00:00:01;0000001001;  31,02;  3,49374e-10
0000000001;00:00:01;0000001001;  31,04;  4,83749e-10
0000000001;00:00:01;0000001001;  31,06;  5,37499e-11
0000000001;00:00:01;0000001001;  31,08;  3,22499e-10
0000000001;00:00:01;0000001001;  31,10;  3,22499e-10
0000000001;00:00:01;0000001001;  31,12;  2,68749e-11
0000000001;00:00:01;0000001001;  31,14;  5,91249e-10
0000000001;00:00:01;0000001001;  31,16;  4,29999e-10
0000000001;00:00:01;0000001001;  31,18;  3,22499e-10
0000000001;00:00:01;0000001001;  31,20;  7,79373e-10
0000000001;00:00:01;0000001001;  31,22;  5,64374e-10
0000000001;00:00:01;0000001001;  31,24;  5,37499e-10
0000000001;00:00:01;0000001001;  31,26;  9,94370e-10
0000000001;00:00:01;0000001001;  31,28;  6,18124e-10
0000000001;00:00:01;0000001001;  31,30;  5,91249e-10
0000000001;00:00:01;0000001001;  31,32;  1,12874e-09
0000000001;00:00:01;0000001001;  31,34;  8,06248e-10
0000000001;00:00:01;0000001001;  31,36;  1,02124e-09
0000000001;00:00:01;0000001001;  31,38;  1,42437e-09
0000000001;00:00:01;0000001001;  31,40;  1,02124e-09
0000000001;00:00:01;0000001001;  31,42;  1,47812e-09
0000000001;00:00:01;0000001001;  31,44;  1,66624e-09
0000000001;00:00:01;0000001001;  31,46;  1,31687e-09
0000000001;00:00:01;0000001001;  31,48;  1,85437e-09
0000000001;00:00:01;0000001001;  31,50;  1,96187e-09
0000000001;00:00:01;0000001001;  31,52;  1,80062e-09
0000000001;00:00:01;0000001001;  31,54;  2,44562e-09
