0000000101;scans;0000000054;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";10:42:45
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Faraday";"mass";27,00;29,00;0,02;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";0;"%"
"electron-energy";70,0;"V"
"emission";1000,000;"uA"
"focus";-90;"V"
"mass";40,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Faraday torr"
0000000001;00:00:01;0000001002;  27,00;  1,71999e-09
0000000001;00:00:01;0000001002;  27,02;  1,80062e-09
0000000001;00:00:01;0000001002;  27,04;  1,96187e-09
0000000001;00:00:01;0000001002;  27,06;  1,85437e-09
0000000001;00:00:01;0000001002;  27,08;  2,17687e-09
0000000001;00:00:01;0000001002;  27,10;  2,17687e-09
0000000001;00:00:01;0000001002;  27,12;  2,31124e-09
0000000001;00:00:01;0000001002;  27,14;  2,39187e-09
0000000001;00:00:01;0000001002;  27,16;  2,55312e-09
0000000001;00:00:01;0000001002;  27,18;  2,87562e-09
0000000001;00:00:01;0000001002;  27,20;  3,22499e-09
0000000001;00:00:01;0000001002;  27,22;  3,41311e-09
0000000001;00:00:01;0000001002;  27,24;  3,41311e-09
0000000001;00:00:01;0000001002;  27,26;  3,84311e-09
0000000001;00:00:01;0000001002;  27,28;  4,00436e-09
0000000001;00:00:01;0000001002;  27,30;  4,51499e-09
0000000001;00:00:01;0000001002;  27,32;  4,75686e-09
0000000001;00:00:01;0000001002;  27,34;  5,53624e-09
0000000001;00:00:01;0000001002;  27,36;  5,88561e-09
0000000001;00:00:01;0000001002;  27,38;  6,53061e-09
0000000001;00:00:01;0000001002;  27,40;  7,06811e-09
0000000001;00:00:01;0000001002;  27,42;  7,73990e-09
0000000001;00:00:01;0000001002;  27,44;  8,78810e-09
0000000001;00:00:01;0000001002;  27,46;  9,67490e-09
0000000001;00:00:01;0000001002;  27,48;  1,08306e-08
0000000001;00:00:01;0000001002;  27,50;  1,21474e-08
0000000001;00:00:01;0000001002;  27,52;  1,38943e-08
0000000001;00:00:01;0000001002;  27,54;  1,52112e-08
0000000001;00:00:01;0000001002;  27,56;  1,66355e-08
0000000001;00:00:01;0000001002;  27,58;  1,79255e-08
0000000001;00:00:01;0000001002;  27,60;  1,94843e-08
0000000001;00:00:01;0000001002;  27,62;  2,07474e-08
0000000001;00:00:01;0000001002;  27,64;  2,23599e-08
0000000001;00:00:01;0000001002;  27,66;  2,39455e-08
0000000001;00:00:01;0000001002;  27,68;  2,63643e-08
0000000001;00:00:01;0000001002;  27,70;  2,89443e-08
0000000001;00:00:01;0000001002;  27,72;  3,18199e-08
0000000001;00:00:01;0000001002;  27,74;  3,49911e-08
0000000001;00:00:01;0000001002;  27,76;  3,76518e-08
0000000001;00:00:01;0000001002;  27,78;  4,12261e-08
0000000001;00:00:01;0000001002;  27,80;  4,42899e-08
0000000001;00:00:01;0000001002;  27,82;  4,77299e-08
0000000001;00:00:01;0000001002;  27,84;  5,08742e-08
0000000001;00:00:01;0000001002;  27,86;  5,44486e-08
0000000001;00:00:01;0000001002;  27,88;  5,84530e-08
0000000001;00:00:01;0000001002;  27,90;  6,30480e-08
0000000001;00:00:01;0000001002;  27,92;  6,83690e-08
0000000001;00:00:01;0000001002;  27,94;  7,43090e-08
0000000001;00:00:01;0000001002;  27,96;  7,99260e-08
0000000001;00:00:01;0000001002;  27,98;  8,60260e-08
0000000001;00:00:01;0000001002;  28,00;  9,24490e-08
0000000001;00:00:01;0000001002;  28,02;  9,86310e-08
0000000001;00:00:01;0000001002;  28,04;  1,04382e-07
0000000001;00:00:01;0000001002;  28,06;  1,08870e-07
0000000001;00:00:01;0000001002;  28,08;  1,13573e-07
0000000001;00:00:01;0000001002;  28,10;  1,17013e-07
0000000001;00:00:01;0000001002;  28,12;  1,20023e-07
0000000001;00:00:01;0000001002;  28,14;  1,21689e-07
0000000001;00:00:01;0000001002;  28,16;  1,22899e-07
0000000001;00:00:01;0000001002;  28,18;  1,23275e-07
0000000001;00:00:01;0000001002;  28,20;  1,22791e-07
0000000001;00:00:01;0000001002;  28,22;  1,21528e-07
0000000001;00:00:01;0000001002;  28,24;  1,19674e-07
0000000001;00:00:01;0000001002;  28,26;  1,17470e-07
0000000001;00:00:01;0000001002;  28,28;  1,13896e-07
0000000001;00:00:01;0000001002;  28,30;  1,09085e-07
0000000001;00:00:01;0000001002;  28,32;  1,02017e-07
0000000001;00:00:01;0000001002;  28,34;  9,39540e-08
0000000001;00:00:01;0000001002;  28,36;  8,48440e-08
0000000001;00:00:01;0000001002;  28,38;  7,43090e-08
0000000001;00:00:01;0000001002;  28,40;  6,23490e-08
0000000001;00:00:01;0000001002;  28,42;  5,09280e-08
0000000001;00:00:01;0000001002;  28,44;  4,03661e-08
0000000001;00:00:01;0000001002;  28,46;  3,13899e-08
0000000001;00:00:01;0000001002;  28,48;  2,25480e-08
0000000001;00:00:01;0000001002;  28,50;  1,42168e-08
0000000001;00:00:01;0000001002;  28,52;  7,79370e-09
0000000001;00:00:01;0000001002;  28,54;  4,40749e-09
0000000001;00:00:01;0000001002;  28,56;  3,11749e-09
0000000001;00:00:01;0000001002;  28,58;  2,12312e-09
0000000001;00:00:01;0000001002;  28,60;  1,90812e-09
0000000001;00:00:01;0000001002;  28,62;  1,50499e-09
0000000001;00:00:01;0000001002;  28,64;  1,47812e-09
0000000001;00:00:01;0000001002;  28,66;  1,31687e-09
0000000001;00:00:01;0000001002;  28,68;  1,39749e-09
0000000001;00:00:01;0000001002;  28,70;  1,28999e-09
0000000001;00:00:01;0000001002;  28,72;  1,18249e-09
0000000001;00:00:01;0000001002;  28,74;  1,10187e-09
0000000001;00:00:01;0000001002;  28,76;  1,04812e-09
0000000001;00:00:01;0000001002;  28,78;  1,28999e-09
0000000001;00:00:01;0000001002;  28,80;  1,12874e-09
0000000001;00:00:01;0000001002;  28,82;  1,26312e-09
0000000001;00:00:01;0000001002;  28,84;  1,02124e-09
0000000001;00:00:01;0000001002;  28,86;  1,26312e-09
0000000001;00:00:01;0000001002;  28,88;  1,02124e-09
0000000001;00:00:01;0000001002;  28,90;  1,10187e-09
