0000000076;scans;0000000054;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";10:39:42
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Faraday";"mass";17,50;19,00;0,02;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";0;"%"
"electron-energy";70,0;"V"
"emission";1000,000;"uA"
"focus";-90;"V"
"mass";40,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Faraday torr"
0000000001;00:00:01;0000001001;  17,50;  3,22499e-09
0000000001;00:00:01;0000001001;  17,52;  2,74124e-09
0000000001;00:00:01;0000001001;  17,54;  2,44562e-09
0000000001;00:00:01;0000001001;  17,56;  2,76812e-09
0000000001;00:00:01;0000001001;  17,58;  2,90249e-09
0000000001;00:00:01;0000001001;  17,60;  3,41311e-09
0000000001;00:00:01;0000001001;  17,62;  3,73561e-09
0000000001;00:00:01;0000001001;  17,64;  4,24624e-09
0000000001;00:00:01;0000001001;  17,66;  4,56874e-09
0000000001;00:00:01;0000001001;  17,68;  4,81061e-09
0000000001;00:00:01;0000001001;  17,70;  4,83749e-09
0000000001;00:00:01;0000001001;  17,72;  4,86436e-09
0000000001;00:00:01;0000001001;  17,74;  5,34811e-09
0000000001;00:00:01;0000001001;  17,76;  5,29436e-09
0000000001;00:00:01;0000001001;  17,78;  5,42874e-09
0000000001;00:00:01;0000001001;  17,80;  5,29436e-09
0000000001;00:00:01;0000001001;  17,82;  5,61686e-09
0000000001;00:00:01;0000001001;  17,84;  5,67061e-09
0000000001;00:00:01;0000001001;  17,86;  6,01999e-09
0000000001;00:00:01;0000001001;  17,88;  6,44999e-09
0000000001;00:00:01;0000001001;  17,90;  7,47120e-09
0000000001;00:00:01;0000001001;  17,92;  8,51930e-09
0000000001;00:00:01;0000001001;  17,94;  9,94370e-09
0000000001;00:00:01;0000001001;  17,96;  1,15024e-08
0000000001;00:00:01;0000001001;  17,98;  1,33568e-08
0000000001;00:00:01;0000001001;  18,00;  1,56681e-08
0000000001;00:00:01;0000001001;  18,02;  1,78718e-08
0000000001;00:00:01;0000001001;  18,04;  2,01830e-08
0000000001;00:00:01;0000001001;  18,06;  2,19299e-08
0000000001;00:00:01;0000001001;  18,08;  2,41874e-08
0000000001;00:00:01;0000001001;  18,10;  2,56387e-08
0000000001;00:00:01;0000001001;  18,12;  2,72512e-08
0000000001;00:00:01;0000001001;  18,14;  2,86218e-08
0000000001;00:00:01;0000001001;  18,16;  2,99387e-08
0000000001;00:00:01;0000001001;  18,18;  3,08524e-08
0000000001;00:00:01;0000001001;  18,20;  3,17124e-08
0000000001;00:00:01;0000001001;  18,22;  3,27605e-08
0000000001;00:00:01;0000001001;  18,24;  3,37549e-08
0000000001;00:00:01;0000001001;  18,26;  3,46686e-08
0000000001;00:00:01;0000001001;  18,28;  3,50718e-08
0000000001;00:00:01;0000001001;  18,30;  3,56093e-08
0000000001;00:00:01;0000001001;  18,32;  3,54480e-08
0000000001;00:00:01;0000001001;  18,34;  3,55018e-08
0000000001;00:00:01;0000001001;  18,36;  3,49911e-08
0000000001;00:00:01;0000001001;  18,38;  3,41311e-08
0000000001;00:00:01;0000001001;  18,40;  3,18468e-08
0000000001;00:00:01;0000001001;  18,42;  2,78424e-08
0000000001;00:00:01;0000001001;  18,44;  2,23062e-08
0000000001;00:00:01;0000001001;  18,46;  1,67699e-08
0000000001;00:00:01;0000001001;  18,48;  1,16637e-08
0000000001;00:00:01;0000001001;  18,50;  7,14873e-09
0000000001;00:00:01;0000001001;  18,52;  3,17124e-09
0000000001;00:00:01;0000001001;  18,54;  1,07499e-09
0000000001;00:00:01;0000001001;  18,56;  6,71873e-10
0000000001;00:00:01;0000001001;  18,58;  2,41874e-10
0000000001;00:00:01;0000001001;  18,60;  2,95624e-10
0000000001;00:00:01;0000001001;  18,62;  2,68749e-11
0000000001;00:00:01;0000001001;  18,64;  1,88124e-10
0000000001;00:00:01;0000001001;  18,66;  1,88124e-10
0000000001;00:00:01;0000001001;  18,68;  3,22499e-10
0000000001;00:00:01;0000001001;  18,70;  8,06240e-11
0000000001;00:00:01;0000001001;  18,72; -5,37499e-11
0000000001;00:00:01;0000001001;  18,74;  1,34374e-10
0000000001;00:00:01;0000001001;  18,76;  8,06240e-11
0000000001;00:00:01;0000001001;  18,78;  1,34374e-10
0000000001;00:00:01;0000001001;  18,80; -5,37499e-11
0000000001;00:00:01;0000001001;  18,82;  2,14999e-10
0000000001;00:00:01;0000001001;  18,84;  5,37499e-11
0000000001;00:00:01;0000001001;  18,86;  8,06240e-11
0000000001;00:00:01;0000001001;  18,88;  0,00000e+00
0000000001;00:00:01;0000001001;  18,90;  1,07499e-10
0000000001;00:00:01;0000001001;  18,92;  8,06240e-11
0000000001;00:00:01;0000001001;  18,94;  5,37499e-11
0000000001;00:00:01;0000001001;  18,96;  2,68749e-11
0000000001;00:00:01;0000001001;  18,98;  0,00000e+00
0000000001;00:00:01;0000001001;  19,00;  2,68749e-10
