0000000151;scans;0000000054;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";11:09:48
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Faraday";"mass";26,00;29,00;0,02;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";-80;"%"
"electron-energy";70,0;"V"
"emission";1000,000;"uA"
"focus";-90;"V"
"mass";40,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Faraday torr"
0000000001;00:00:01;0000001001;  26,00;  1,50499e-09
0000000001;00:00:01;0000001001;  26,02;  1,55874e-09
0000000001;00:00:01;0000001001;  26,04;  1,66624e-09
0000000001;00:00:01;0000001001;  26,06;  1,82749e-09
0000000001;00:00:01;0000001001;  26,08;  1,85437e-09
0000000001;00:00:01;0000001001;  26,10;  1,90812e-09
0000000001;00:00:01;0000001001;  26,12;  1,82749e-09
0000000001;00:00:01;0000001001;  26,14;  2,23062e-09
0000000001;00:00:01;0000001001;  26,16;  2,20374e-09
0000000001;00:00:01;0000001001;  26,18;  2,47249e-09
0000000001;00:00:01;0000001001;  26,20;  2,39187e-09
0000000001;00:00:01;0000001001;  26,22;  2,79499e-09
0000000001;00:00:01;0000001001;  26,24;  2,79499e-09
0000000001;00:00:01;0000001001;  26,26;  3,00999e-09
0000000001;00:00:01;0000001001;  26,28;  3,19812e-09
0000000001;00:00:01;0000001001;  26,30;  3,54749e-09
0000000001;00:00:01;0000001001;  26,32;  3,78936e-09
0000000001;00:00:01;0000001001;  26,34;  3,92374e-09
0000000001;00:00:01;0000001001;  26,36;  4,08499e-09
0000000001;00:00:01;0000001001;  26,38;  4,24624e-09
0000000001;00:00:01;0000001001;  26,40;  4,83749e-09
0000000001;00:00:01;0000001001;  26,42;  5,02561e-09
0000000001;00:00:01;0000001001;  26,44;  5,61686e-09
0000000001;00:00:01;0000001001;  26,46;  5,69749e-09
0000000001;00:00:01;0000001001;  26,48;  6,26186e-09
0000000001;00:00:01;0000001001;  26,50;  6,55748e-09
0000000001;00:00:01;0000001001;  26,52;  7,01436e-09
0000000001;00:00:01;0000001001;  26,54;  7,68620e-09
0000000001;00:00:01;0000001001;  26,56;  8,54620e-09
0000000001;00:00:01;0000001001;  26,58;  9,40620e-09
0000000001;00:00:01;0000001001;  26,60;  1,03468e-08
0000000001;00:00:01;0000001001;  26,62;  1,17174e-08
0000000001;00:00:01;0000001001;  26,64;  1,30612e-08
0000000001;00:00:01;0000001001;  26,66;  1,46468e-08
0000000001;00:00:01;0000001001;  26,68;  1,61518e-08
0000000001;00:00:01;0000001001;  26,70;  1,79255e-08
0000000001;00:00:01;0000001001;  26,72;  1,95112e-08
0000000001;00:00:01;0000001001;  26,74;  2,15805e-08
0000000001;00:00:01;0000001001;  26,76;  2,30049e-08
0000000001;00:00:01;0000001001;  26,78;  2,48055e-08
0000000001;00:00:01;0000001001;  26,80;  2,62030e-08
0000000001;00:00:01;0000001001;  26,82;  2,79499e-08
0000000001;00:00:01;0000001001;  26,84;  2,96968e-08
0000000001;00:00:01;0000001001;  26,86;  3,16587e-08
0000000001;00:00:01;0000001001;  26,88;  3,42118e-08
0000000001;00:00:01;0000001001;  26,90;  3,73024e-08
0000000001;00:00:01;0000001001;  26,92;  4,09305e-08
0000000001;00:00:01;0000001001;  26,94;  4,49886e-08
0000000001;00:00:01;0000001001;  26,96;  4,99605e-08
0000000001;00:00:01;0000001001;  26,98;  5,62492e-08
0000000001;00:00:01;0000001001;  27,00;  6,43110e-08
0000000001;00:00:01;0000001001;  27,02;  7,39590e-08
0000000001;00:00:01;0000001001;  27,04;  8,53010e-08
