0000000151;scans;0000000054;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";11:30:40
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Faraday";"mass";26,00;29,00;0,02;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";40;"%"
"electron-energy";70,0;"V"
"emission";1000,000;"uA"
"focus";-90;"V"
"mass";40,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Faraday torr"
0000000001;00:00:01;0000001002;  26,00;  5,75769e-11
0000000001;00:00:01;0000001002;  26,02;  6,08010e-11
0000000001;00:00:01;0000001002;  26,04;  4,62894e-11
0000000001;00:00:01;0000001002;  26,06;  7,93450e-11
0000000001;00:00:01;0000001002;  26,08;  6,76600e-11
0000000001;00:00:01;0000001002;  26,10;  6,59720e-11
0000000001;00:00:01;0000001002;  26,12;  7,57870e-11
0000000001;00:00:01;0000001002;  26,14;  1,42501e-10
0000000001;00:00:01;0000001002;  26,16;  1,35578e-10
0000000001;00:00:01;0000001002;  26,18;  1,61991e-10
0000000001;00:00:01;0000001002;  26,20;  1,19453e-10
0000000001;00:00:01;0000001002;  26,22;  1,32622e-10
0000000001;00:00:01;0000001002;  26,24;  7,04760e-11
0000000001;00:00:01;0000001002;  26,26;  1,47543e-10
0000000001;00:00:01;0000001002;  26,28;  2,01959e-10
0000000001;00:00:01;0000001002;  26,30;  1,21270e-10
0000000001;00:00:01;0000001002;  26,32;  1,41093e-10
0000000001;00:00:01;0000001002;  26,34;  1,49220e-10
0000000001;00:00:01;0000001002;  26,36;  1,64206e-10
0000000001;00:00:01;0000001002;  26,38;  1,77772e-10
0000000001;00:00:01;0000001002;  26,40;  2,01357e-10
0000000001;00:00:01;0000001002;  26,42;  2,34618e-10
0000000001;00:00:01;0000001002;  26,44;  1,98605e-10
0000000001;00:00:01;0000001002;  26,46;  2,72576e-10
0000000001;00:00:01;0000001002;  26,48;  2,12785e-10
0000000001;00:00:01;0000001002;  26,50;  2,41810e-10
0000000001;00:00:01;0000001002;  26,52;  1,71257e-10
0000000001;00:00:01;0000001002;  26,54;  2,30253e-10
0000000001;00:00:01;0000001002;  26,56;  1,89737e-10
0000000001;00:00:01;0000001002;  26,58;  2,70630e-10
0000000001;00:00:01;0000001002;  26,60;  2,56118e-10
0000000001;00:00:01;0000001002;  26,62;  3,45009e-10
0000000001;00:00:01;0000001002;  26,64;  3,78399e-10
0000000001;00:00:01;0000001002;  26,66;  3,62940e-10
0000000001;00:00:01;0000001002;  26,68;  3,70670e-10
0000000001;00:00:01;0000001002;  26,70;  4,01103e-10
0000000001;00:00:01;0000001002;  26,72;  3,80613e-10
0000000001;00:00:01;0000001002;  26,74;  4,50628e-10
0000000001;00:00:01;0000001002;  26,76;  4,37793e-10
0000000001;00:00:01;0000001002;  26,78;  5,43142e-10
0000000001;00:00:01;0000001002;  26,80;  4,64066e-10
0000000001;00:00:01;0000001002;  26,82;  5,80972e-10
0000000001;00:00:01;0000001002;  26,84;  5,24867e-10
0000000001;00:00:01;0000001002;  26,86;  6,32034e-10
0000000001;00:00:01;0000001002;  26,88;  6,44665e-10
0000000001;00:00:01;0000001002;  26,90;  7,42952e-10
0000000001;00:00:01;0000001002;  26,92;  7,19646e-10
0000000001;00:00:01;0000001002;  26,94;  7,76482e-10
0000000001;00:00:01;0000001002;  26,96;  8,25802e-10
0000000001;00:00:01;0000001002;  26,98;  8,60471e-10
0000000001;00:00:01;0000001002;  27,00;  9,22413e-10
0000000001;00:00:01;0000001002;  27,02;  9,59430e-10
0000000001;00:00:01;0000001002;  27,04;  9,69710e-10
0000000001;00:00:01;0000001002;  27,06;  1,06122e-09
0000000001;00:00:01;0000001002;  27,08;  1,00539e-09
0000000001;00:00:01;0000001002;  27,10;  1,11618e-09
0000000001;00:00:01;0000001002;  27,12;  1,09635e-09
0000000001;00:00:01;0000001002;  27,14;  1,10267e-09
0000000001;00:00:01;0000001002;  27,16;  1,11557e-09
0000000001;00:00:01;0000001002;  27,18;  1,09763e-09
0000000001;00:00:01;0000001002;  27,20;  1,01124e-09
0000000001;00:00:01;0000001002;  27,22;  1,03139e-09
0000000001;00:00:01;0000001002;  27,24;  9,61110e-10
0000000001;00:00:01;0000001002;  27,26;  9,30808e-10
0000000001;00:00:01;0000001002;  27,28;  8,36617e-10
0000000001;00:00:01;0000001002;  27,30;  8,46958e-10
0000000001;00:00:01;0000001002;  27,32;  7,33277e-10
0000000001;00:00:01;0000001002;  27,34;  7,28913e-10
0000000001;00:00:01;0000001002;  27,36;  6,76711e-10
0000000001;00:00:01;0000001002;  27,38;  6,74228e-10
0000000001;00:00:01;0000001002;  27,40;  6,19199e-10
0000000001;00:00:01;0000001002;  27,42;  6,23703e-10
0000000001;00:00:01;0000001002;  27,44;  6,13017e-10
0000000001;00:00:01;0000001002;  27,46;  5,99913e-10
0000000001;00:00:01;0000001002;  27,48;  5,97290e-10
0000000001;00:00:01;0000001002;  27,50;  6,34249e-10
0000000001;00:00:01;0000001002;  27,52;  6,34313e-10
0000000001;00:00:01;0000001002;  27,54;  6,57157e-10
0000000001;00:00:01;0000001002;  27,56;  6,50707e-10
0000000001;00:00:01;0000001002;  27,58;  7,23140e-10
0000000001;00:00:01;0000001002;  27,60;  7,21990e-10
0000000001;00:00:01;0000001002;  27,62;  8,10753e-10
0000000001;00:00:01;0000001002;  27,64;  8,30973e-10
0000000001;00:00:01;0000001002;  27,66;  9,80730e-10
0000000001;00:00:01;0000001002;  27,68;  9,84630e-10
0000000001;00:00:01;0000001002;  27,70;  1,11806e-09
0000000001;00:00:01;0000001002;  27,72;  1,19337e-09
0000000001;00:00:01;0000001002;  27,74;  1,39877e-09
0000000001;00:00:01;0000001002;  27,76;  1,50063e-09
0000000001;00:00:01;0000001002;  27,78;  1,71468e-09
0000000001;00:00:01;0000001002;  27,80;  1,88298e-09
0000000001;00:00:01;0000001002;  27,82;  2,16793e-09
0000000001;00:00:01;0000001002;  27,84;  2,38178e-09
0000000001;00:00:01;0000001002;  27,86;  2,72082e-09
0000000001;00:00:01;0000001002;  27,88;  3,01832e-09
0000000001;00:00:01;0000001002;  27,90;  3,48319e-09
0000000001;00:00:01;0000001002;  27,92;  3,86145e-09
0000000001;00:00:01;0000001002;  27,94;  4,34923e-09
0000000001;00:00:01;0000001002;  27,96;  4,63310e-09
0000000001;00:00:01;0000001002;  27,98;  4,93087e-09
0000000001;00:00:01;0000001002;  28,00;  5,03307e-09
0000000001;00:00:01;0000001002;  28,02;  5,04019e-09
0000000001;00:00:01;0000001002;  28,04;  5,02756e-09
0000000001;00:00:01;0000001002;  28,06;  4,88338e-09
0000000001;00:00:01;0000001002;  28,08;  4,82976e-09
0000000001;00:00:01;0000001002;  28,10;  4,75659e-09
0000000001;00:00:01;0000001002;  28,12;  4,66878e-09
