0000000401;scans;0000000053;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";14:48:28
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Faraday";"electron-energy";10,0;50,0;0,1;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";0;"%"
"electron-energy";70,0;"V"
"emission";60,000;"uA"
"focus";-90;"V"
"mass";40,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"electron-energy V";"Faraday torr"
0000000001;00:00:01;0000001001;  10,0; -6,68648e-12
0000000001;00:00:01;0000001001;  10,1; -3,54749e-12
0000000001;00:00:01;0000001001;  10,2;  6,77248e-12
0000000001;00:00:01;0000001001;  10,3; -2,45422e-11
0000000001;00:00:01;0000001001;  10,4;  9,84690e-12
0000000001;00:00:01;0000001001;  10,5; -1,29644e-11
0000000001;00:00:01;0000001001;  10,6; -1,40932e-11
0000000001;00:00:01;0000001001;  10,7;  1,85974e-12
0000000001;00:00:01;0000001001;  10,8;  1,29644e-11
0000000001;00:00:01;0000001001;  10,9; -7,70770e-12
0000000001;00:00:01;0000001001;  11,0;  5,74049e-12
0000000001;00:00:01;0000001001;  11,1;  7,35290e-12
0000000001;00:00:01;0000001001;  11,2; -3,99899e-12
0000000001;00:00:01;0000001001;  11,3;  1,11907e-11
0000000001;00:00:01;0000001001;  11,4;  3,57974e-12
0000000001;00:00:01;0000001001;  11,5; -1,73074e-12
0000000001;00:00:01;0000001001;  11,6; -4,02049e-12
0000000001;00:00:01;0000001001;  11,7;  2,87024e-12
0000000001;00:00:01;0000001001;  11,8; -3,79474e-12
0000000001;00:00:01;0000001001;  11,9;  2,05109e-11
0000000001;00:00:01;0000001001;  12,0; -2,75199e-12
0000000001;00:00:01;0000001001;  12,1;  1,67699e-12
0000000001;00:00:01;0000001001;  12,2;  1,46952e-11
0000000001;00:00:01;0000001001;  12,3; -3,00892e-11
0000000001;00:00:01;0000001001;  12,4; -2,34779e-11
0000000001;00:00:01;0000001001;  12,5; -1,35879e-11
0000000001;00:00:01;0000001001;  12,6; -3,07449e-12
0000000001;00:00:01;0000001001;  12,7; -1,66947e-11
0000000001;00:00:01;0000001001;  12,8; -3,19274e-12
0000000001;00:00:01;0000001001;  12,9; -2,92399e-12
0000000001;00:00:01;0000001001;  13,0; -4,51499e-13
0000000001;00:00:01;0000001001;  13,1; -4,47199e-12
0000000001;00:00:01;0000001001;  13,2;  4,42899e-12
0000000001;00:00:01;0000001001;  13,3;  2,68749e-13
0000000001;00:00:01;0000001001;  13,4;  1,19754e-11
0000000001;00:00:01;0000001001;  13,5; -1,31579e-11
0000000001;00:00:01;0000001001;  13,6;  9,11590e-12
0000000001;00:00:01;0000001001;  13,7; -9,88990e-12
0000000001;00:00:01;0000001001;  13,8; -4,08499e-13
0000000001;00:00:01;0000001001;  13,9; -2,01777e-11
0000000001;00:00:01;0000001001;  14,0; -9,35240e-12
0000000001;00:00:01;0000001001;  14,1; -6,12749e-12
0000000001;00:00:01;0000001001;  14,2; -6,35324e-12
0000000001;00:00:01;0000001001;  14,3; -2,11989e-11
0000000001;00:00:01;0000001001;  14,4; -7,41748e-13
0000000001;00:00:01;0000001001;  14,5;  3,34324e-12
0000000001;00:00:01;0000001001;  14,6; -2,47249e-11
0000000001;00:00:01;0000001001;  14,7;  4,77299e-12
0000000001;00:00:01;0000001001;  14,8; -1,67269e-11
0000000001;00:00:01;0000001001;  14,9;  2,74124e-12
0000000001;00:00:01;0000001001;  15,0; -3,02074e-12
0000000001;00:00:01;0000001001;  15,1; -2,48324e-12
0000000001;00:00:01;0000001001;  15,2; -6,75098e-12
0000000001;00:00:01;0000001001;  15,3; -9,22340e-12
0000000001;00:00:01;0000001001;  15,4; -2,68749e-12
0000000001;00:00:01;0000001001;  15,5;  5,10624e-12
0000000001;00:00:01;0000001001;  15,6; -1,02984e-11
0000000001;00:00:01;0000001001;  15,7;  4,78374e-12
0000000001;00:00:01;0000001001;  15,8;  3,08524e-12
0000000001;00:00:01;0000001001;  15,9;  1,03952e-11
0000000001;00:00:01;0000001001;  16,0; -4,39029e-11
0000000001;00:00:01;0000001001;  16,1; -9,30940e-12
0000000001;00:00:01;0000001001;  16,2;  1,83394e-11
0000000001;00:00:01;0000001001;  16,3;  1,55982e-11
0000000001;00:00:01;0000001001;  16,4;  2,21449e-12
0000000001;00:00:01;0000001001;  16,5; -4,66549e-12
0000000001;00:00:01;0000001001;  16,6; -1,08359e-11
0000000001;00:00:01;0000001001;  16,7; -2,61332e-11
0000000001;00:00:01;0000001001;  16,8;  8,92240e-12
0000000001;00:00:01;0000001001;  16,9;  6,89073e-12
0000000001;00:00:01;0000001001;  17,0; -9,42770e-12
0000000001;00:00:01;0000001001;  17,1; -1,35342e-11
0000000001;00:00:01;0000001001;  17,2; -1,74687e-11
0000000001;00:00:01;0000001001;  17,3; -2,30264e-11
0000000001;00:00:01;0000001001;  17,4; -1,73182e-11
0000000001;00:00:01;0000001001;  17,5; -3,13254e-11
0000000001;00:00:01;0000001001;  17,6; -9,62120e-12
0000000001;00:00:01;0000001001;  17,7; -8,06248e-13
0000000001;00:00:01;0000001001;  17,8; -2,94549e-12
0000000001;00:00:01;0000001001;  17,9; -1,02769e-11
0000000001;00:00:01;0000001001;  18,0;  4,40749e-13
0000000001;00:00:01;0000001001;  18,1; -1,53724e-11
0000000001;00:00:01;0000001001;  18,2;  9,02998e-13
0000000001;00:00:01;0000001001;  18,3; -1,72859e-11
0000000001;00:00:01;0000001001;  18,4;  2,30049e-12
0000000001;00:00:01;0000001001;  18,5; -1,78772e-11
0000000001;00:00:01;0000001001;  18,6;  1,89199e-12
0000000001;00:00:01;0000001001;  18,7; -7,35290e-12
0000000001;00:00:01;0000001001;  18,8; -1,17927e-11
0000000001;00:00:01;0000001001;  18,9; -5,57924e-12
0000000001;00:00:01;0000001001;  19,0; -2,19084e-11
0000000001;00:00:01;0000001001;  19,1; -3,31099e-12
0000000001;00:00:01;0000001001;  19,2; -4,24624e-12
0000000001;00:00:01;0000001001;  19,3; -2,47787e-11
0000000001;00:00:01;0000001001;  19,4;  1,84577e-11
0000000001;00:00:01;0000001001;  19,5; -7,79370e-12
0000000001;00:00:01;0000001001;  19,6; -1,72214e-11
0000000001;00:00:01;0000001001;  19,7; -1,52219e-11
0000000001;00:00:01;0000001001;  19,8; -9,61040e-12
0000000001;00:00:01;0000001001;  19,9; -2,24244e-11
0000000001;00:00:01;0000001001;  20,0;  9,43840e-12
0000000001;00:00:01;0000001001;  20,1; -2,16397e-11
0000000001;00:00:01;0000001001;  20,2;  8,24520e-12
0000000001;00:00:01;0000001001;  20,3; -9,67490e-14
0000000001;00:00:01;0000001001;  20,4; -9,34170e-12
0000000001;00:00:01;0000001001;  20,5;  2,09624e-12
0000000001;00:00:01;0000001001;  20,6; -2,20697e-11
0000000001;00:00:01;0000001001;  20,7; -8,77190e-12
0000000001;00:00:01;0000001001;  20,8; -7,47120e-12
0000000001;00:00:01;0000001001;  20,9; -1,56734e-11
0000000001;00:00:01;0000001001;  21,0;  4,18174e-12
0000000001;00:00:01;0000001001;  21,1; -1,29537e-11
0000000001;00:00:01;0000001001;  21,2; -1,08037e-11
0000000001;00:00:01;0000001001;  21,3; -1,21582e-11
0000000001;00:00:01;0000001001;  21,4; -4,21399e-12
0000000001;00:00:01;0000001001;  21,5; -3,85924e-12
0000000001;00:00:01;0000001001;  21,6; -2,03712e-11
0000000001;00:00:01;0000001001;  21,7; -2,27792e-11
0000000001;00:00:01;0000001001;  21,8; -9,08370e-12
0000000001;00:00:01;0000001001;  21,9;  1,40072e-11
0000000001;00:00:01;0000001001;  22,0;  5,58999e-12
0000000001;00:00:01;0000001001;  22,1;  4,63324e-12
0000000001;00:00:01;0000001001;  22,2;  2,27899e-12
0000000001;00:00:01;0000001001;  22,3;  5,04174e-12
0000000001;00:00:01;0000001001;  22,4;  4,50424e-12
0000000001;00:00:01;0000001001;  22,5; -8,53540e-12
0000000001;00:00:01;0000001001;  22,6; -1,02662e-11
0000000001;00:00:01;0000001001;  22,7; -7,97640e-12
0000000001;00:00:01;0000001001;  22,8;  1,56734e-11
