0000000401;scans;0000000053;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";14:35:14
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Faraday";"electron-energy";10,0;50,0;0,1;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";0;"%"
"electron-energy";70,0;"V"
"emission";60,000;"uA"
"focus";-90;"V"
"mass";28,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"electron-energy V";"Faraday torr"
0000000001;00:00:01;0000001001;  10,0; -1,17389e-11
0000000001;00:00:01;0000001001;  10,1; -1,57379e-11
0000000001;00:00:01;0000001001;  10,2; -9,97590e-12
0000000001;00:00:01;0000001001;  10,3;  5,66524e-12
0000000001;00:00:01;0000001001;  10,4;  1,27924e-12
0000000001;00:00:01;0000001001;  10,5; -6,33174e-12
0000000001;00:00:01;0000001001;  10,6;  1,44479e-11
0000000001;00:00:01;0000001001;  10,7; -2,25749e-11
0000000001;00:00:01;0000001001;  10,8; -1,52004e-11
0000000001;00:00:01;0000001001;  10,9; -2,90464e-11
0000000001;00:00:01;0000001001;  11,0; -2,18332e-11
0000000001;00:00:01;0000001001;  11,1; -8,59990e-12
0000000001;00:00:01;0000001001;  11,2; -1,66624e-12
0000000001;00:00:01;0000001001;  11,3;  9,35240e-12
0000000001;00:00:01;0000001001;  11,4;  1,24914e-11
0000000001;00:00:01;0000001001;  11,5; -3,99899e-12
0000000001;00:00:01;0000001001;  11,6; -4,43974e-12
0000000001;00:00:01;0000001001;  11,7; -5,47174e-12
0000000001;00:00:01;0000001001;  11,8; -6,77248e-13
0000000001;00:00:01;0000001001;  11,9; -4,38599e-12
0000000001;00:00:01;0000001001;  12,0; -9,99740e-12
0000000001;00:00:01;0000001001;  12,1;  4,05274e-12
0000000001;00:00:01;0000001001;  12,2; -3,52599e-12
0000000001;00:00:01;0000001001;  12,3; -2,41874e-12
0000000001;00:00:01;0000001001;  12,4; -2,14999e-14
0000000001;00:00:01;0000001001;  12,5; -1,28139e-11
0000000001;00:00:01;0000001001;  12,6; -1,46307e-11
0000000001;00:00:01;0000001001;  12,7; -2,24244e-11
0000000001;00:00:01;0000001001;  12,8; -1,92532e-11
0000000001;00:00:01;0000001001;  12,9; -2,81649e-11
0000000001;00:00:01;0000001001;  13,0; -2,30157e-11
0000000001;00:00:01;0000001001;  13,1; -1,42222e-11
0000000001;00:00:01;0000001001;  13,2; -5,66524e-12
0000000001;00:00:01;0000001001;  13,3; -1,69527e-11
0000000001;00:00:01;0000001001;  13,4; -3,40774e-12
0000000001;00:00:01;0000001001;  13,5;  9,87920e-12
0000000001;00:00:01;0000001001;  13,6; -8,38490e-12
0000000001;00:00:01;0000001001;  13,7; -9,01920e-12
0000000001;00:00:01;0000001001;  13,8; -5,55774e-12
0000000001;00:00:01;0000001001;  13,9; -1,95327e-11
0000000001;00:00:01;0000001001;  14,0;  5,49324e-12
0000000001;00:00:01;0000001001;  14,1; -1,95972e-11
0000000001;00:00:01;0000001001;  14,2; -3,39591e-11
0000000001;00:00:01;0000001001;  14,3; -2,43594e-11
0000000001;00:00:01;0000001001;  14,4; -1,75009e-11
0000000001;00:00:01;0000001001;  14,5; -1,46844e-11
0000000001;00:00:01;0000001001;  14,6;  5,69749e-13
0000000001;00:00:01;0000001001;  14,7; -2,89282e-11
0000000001;00:00:01;0000001001;  14,8; -1,82749e-12
0000000001;00:00:01;0000001001;  14,9; -1,52219e-11
0000000001;00:00:01;0000001001;  15,0; -1,39104e-11
0000000001;00:00:01;0000001001;  15,1;  6,01999e-13
0000000001;00:00:01;0000001001;  15,2; -3,31099e-12
0000000001;00:00:01;0000001001;  15,3; -5,55774e-12
0000000001;00:00:01;0000001001;  15,4;  3,00999e-13
0000000001;00:00:01;0000001001;  15,5; -1,32869e-11
0000000001;00:00:01;0000001001;  15,6; -2,04249e-13
0000000001;00:00:01;0000001001;  15,7; -7,91190e-12
0000000001;00:00:01;0000001001;  15,8; -4,71924e-12
0000000001;00:00:01;0000001001;  15,9; -3,24004e-11
0000000001;00:00:01;0000001001;  16,0; -1,28354e-11
0000000001;00:00:01;0000001001;  16,1; -3,83451e-11
0000000001;00:00:01;0000001001;  16,2; -8,14840e-12
0000000001;00:00:01;0000001001;  16,3; -3,33249e-11
0000000001;00:00:01;0000001001;  16,4; -2,85949e-12
