0000000401;scans;0000000053;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";13:42:25
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Faraday";"electron-energy";10,0;50,0;0,1;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";0;"%"
"electron-energy";70,0;"V"
"emission";60,000;"uA"
"focus";-90;"V"
"mass";18,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"electron-energy V";"Faraday torr"
0000000001;00:00:01;0000001001;  10,0;  1,95649e-12
0000000001;00:00:01;0000001001;  10,1; -8,86870e-12
0000000001;00:00:01;0000001001;  10,2; -5,37499e-14
0000000001;00:00:01;0000001001;  10,3;  8,66440e-12
0000000001;00:00:01;0000001001;  10,4; -1,75224e-12
0000000001;00:00:01;0000001001;  10,5; -1,30397e-11
0000000001;00:00:01;0000001001;  10,6; -1,47489e-11
0000000001;00:00:01;0000001001;  10,7;  5,71899e-12
0000000001;00:00:01;0000001001;  10,8;  8,61070e-12
0000000001;00:00:01;0000001001;  10,9; -1,44479e-11
0000000001;00:00:01;0000001001;  11,0; -1,23194e-11
0000000001;00:00:01;0000001001;  11,1; -1,56949e-11
0000000001;00:00:01;0000001001;  11,2; -1,19324e-12
0000000001;00:00:01;0000001001;  11,3;  2,76274e-12
0000000001;00:00:01;0000001001;  11,4; -2,03282e-11
0000000001;00:00:01;0000001001;  11,5; -4,05274e-12
0000000001;00:00:01;0000001001;  11,6; -1,90167e-11
0000000001;00:00:01;0000001001;  11,7;  1,76192e-11
0000000001;00:00:01;0000001001;  11,8;  3,33249e-13
0000000001;00:00:01;0000001001;  11,9; -7,87970e-12
0000000001;00:00:01;0000001001;  12,0; -8,29890e-12
0000000001;00:00:01;0000001001;  12,1; -4,59024e-12
0000000001;00:00:01;0000001001;  12,2; -2,89819e-11
0000000001;00:00:01;0000001001;  12,3;  8,81490e-12
0000000001;00:00:01;0000001001;  12,4; -3,02074e-11
0000000001;00:00:01;0000001001;  12,5; -1,65872e-11
0000000001;00:00:01;0000001001;  12,6; -2,47249e-12
0000000001;00:00:01;0000001001;  12,7; -2,88422e-11
0000000001;00:00:01;0000001001;  12,8; -1,94359e-11
0000000001;00:00:01;0000001001;  12,9;  1,63937e-11
0000000001;00:00:01;0000001001;  13,0; -7,15948e-12
0000000001;00:00:01;0000001001;  13,1; -7,21323e-12
0000000001;00:00:01;0000001001;  13,2; -6,34249e-12
0000000001;00:00:01;0000001001;  13,3; -1,57594e-11
0000000001;00:00:01;0000001001;  13,4;  9,41690e-12
0000000001;00:00:01;0000001001;  13,5;  6,87998e-12
0000000001;00:00:01;0000001001;  13,6;  1,37599e-12
0000000001;00:00:01;0000001001;  13,7;  7,20248e-12
0000000001;00:00:01;0000001001;  13,8;  1,07822e-11
0000000001;00:00:01;0000001001;  13,9;  1,89199e-12
0000000001;00:00:01;0000001001;  14,0; -1,33407e-11
0000000001;00:00:01;0000001001;  14,1;  1,65872e-11
0000000001;00:00:01;0000001001;  14,2; -1,90489e-11
0000000001;00:00:01;0000001001;  14,3; -1,36417e-11
0000000001;00:00:01;0000001001;  14,4; -2,19084e-11
0000000001;00:00:01;0000001001;  14,5; -2,89174e-11
0000000001;00:00:01;0000001001;  14,6; -4,65474e-11
0000000001;00:00:01;0000001001;  14,7; -1,98552e-11
0000000001;00:00:01;0000001001;  14,8; -7,61090e-12
0000000001;00:00:01;0000001001;  14,9;  1,85974e-12
0000000001;00:00:01;0000001001;  15,0;  3,76249e-13
0000000001;00:00:01;0000001001;  15,1; -8,20220e-12
0000000001;00:00:01;0000001001;  15,2;  1,44049e-12
0000000001;00:00:01;0000001001;  15,3;  2,01024e-12
0000000001;00:00:01;0000001001;  15,4; -2,84874e-12
0000000001;00:00:01;0000001001;  15,5;  5,25674e-12
