0000000093;scans;0000000092;DataLength
"header";0000000023;"lines"
"Date";28.11.2022;"Time";14:01:04
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";5
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Faraday";"mass";18,30;18,30;0,01;10,000%;60,000%;0,900000;1,000000;
"Scan 2";"RGA";"Faraday";"mass";28,20;28,20;0,01;10,000%;60,000%;1,000000;1,000000;
"Scan 3";"RGA";"Faraday";"mass";32,20;32,20;0,01;10,000%;60,000%;0,860000;1,000000;
"Scan 4";"RGA";"Faraday";"mass";40,20;40,20;0,01;10,000%;60,000%;1,200000;1,000000;
"Scan 5";"RGA";"Faraday";"mass";44,30;44,30;0,01;10,000%;60,000%;1,400000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";0;"%"
"electron-energy";70,0;"V"
"emission";1000,000;"uA"
"focus";-90;"V"
"mass";18,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";5
"Time";"ms";"Wasser";"Stickstoff";"Sauerstoff";"Argon";"CO2";
00:00:01;      1002;  6,86804e-09;  6,24840e-08;  2,03899e-08;  4,53470e-09;  3,31099e-09;
00:00:04;      4834;  7,09140e-09;  6,98740e-08;  2,19524e-08;  4,75866e-09;  3,59894e-09;
00:00:05;      5664;  7,53931e-09;  7,41070e-08;  2,29686e-08;  4,87063e-09;  3,69492e-09;
00:00:06;      6496;  7,31596e-09;  7,73320e-08;  2,42186e-08;  5,03905e-09;  3,45535e-09;
00:00:07;      7326;  7,53931e-09;  7,86090e-08;  2,43749e-08;  4,87063e-09;  3,55133e-09;
00:00:08;      8157;  7,98723e-09;  7,86090e-08;  2,42962e-08;  4,92707e-09;  3,79090e-09;
00:00:08;      8988;  7,31596e-09;  7,84070e-08;  2,45312e-08;  5,03905e-09;  3,55133e-09;
00:00:09;      9819;  7,46526e-09;  7,81380e-08;  2,45312e-08;  4,75866e-09;  3,50296e-09;
00:00:10;     10650;  7,91318e-09;  7,86090e-08;  2,43749e-08;  4,98262e-09;  3,69492e-09;
00:00:11;     11481;  7,31596e-09;  7,86750e-08;  2,46874e-08;  5,15103e-09;  3,64731e-09;
00:00:12;     12312;  7,46526e-09;  7,93470e-08;  2,50774e-08;  4,70312e-09;  3,50296e-09;
00:00:13;     13142;  7,83792e-09;  8,04900e-08;  2,48436e-08;  4,81509e-09;  3,59894e-09;
00:00:13;     13974;  7,53931e-09;  8,10280e-08;  2,49212e-08;  5,15103e-09;  3,69492e-09;
00:00:14;     14804;  7,46526e-09;  8,21690e-08;  2,54686e-08;  4,70312e-09;  3,45535e-09;
00:00:15;     15636;  7,53931e-09;  8,33120e-08;  2,56249e-08;  4,92707e-09;  3,59894e-09;
00:00:16;     16466;  7,61457e-09;  8,37820e-08;  2,52336e-08;  5,09459e-09;  3,74329e-09;
00:00:17;     17297;  7,61457e-09;  8,49910e-08;  2,54686e-08;  4,87063e-09;  3,35936e-09;
00:00:18;     18128;  7,39001e-09;  8,57970e-08;  2,57024e-08;  4,92707e-09;  3,55133e-09;
00:00:18;     18959;  7,83792e-09;  8,57970e-08;  2,51562e-08;  4,92707e-09;  3,79090e-09;
00:00:19;     19790;  7,76387e-09;  8,64690e-08;  2,54686e-08;  5,03905e-09;  3,40697e-09;
00:00:20;     20621;  7,31596e-09;  8,69400e-08;  2,57812e-08;  5,03905e-09;  3,55133e-09;
00:00:21;     21452;  7,76387e-09;  8,67380e-08;  2,49999e-08;  4,81509e-09;  3,79090e-09;
00:00:22;     22282;  7,91318e-09;  8,69400e-08;  2,53899e-08;  5,15103e-09;  3,31099e-09;
00:00:23;     23114;  7,24071e-09;  8,70740e-08;  2,54686e-08;  5,03905e-09;  3,64731e-09;
00:00:23;     23944;  7,61457e-09;  8,68720e-08;  2,46874e-08;  4,75866e-09;  3,69492e-09;
00:00:24;     24776;  7,98723e-09;  8,66710e-08;  2,50774e-08;  5,09459e-09;  3,45535e-09;
00:00:25;     25606;  7,31596e-09;  8,64690e-08;  2,50774e-08;  5,09459e-09;  3,69492e-09;
00:00:26;     26437;  7,53931e-09;  8,64690e-08;  2,43749e-08;  4,64667e-09;  3,64731e-09;
00:00:27;     27268;  7,91318e-09;  8,59990e-08;  2,46086e-08;  4,98262e-09;  3,55133e-09;
00:00:28;     28099;  7,31596e-09;  8,52600e-08;  2,44524e-08;  5,09459e-09;  3,50296e-09;
00:00:28;     28930;  7,53931e-09;  8,53270e-08;  2,40624e-08;  4,59113e-09;  3,50296e-09;
00:00:29;     29761;  7,76387e-09;  8,45210e-08;  2,41399e-08;  4,81509e-09;  3,69492e-09;
00:00:30;     30592;  7,53931e-09;  8,38490e-08;  2,39062e-08;  5,15103e-09;  3,55133e-09;
00:00:31;     31422;  7,61457e-09;  8,37820e-08;  2,35149e-08;  4,75866e-09;  3,40697e-09;
00:00:32;     32254;  7,68862e-09;  8,31100e-08;  2,34374e-08;  4,70312e-09;  3,79090e-09;
00:00:33;     33084;  7,31596e-09;  8,22370e-08;  2,33586e-08;  4,92707e-09;  3,55133e-09;
00:00:33;     33915;  7,46526e-09;  8,21030e-08;  2,32812e-08;  4,70312e-09;  3,40697e-09;
00:00:34;     34746;  7,61457e-09;  8,19000e-08;  2,28899e-08;  4,75866e-09;  3,69492e-09;
00:00:35;     35577;  7,53931e-09;  8,08250e-08;  2,28124e-08;  4,81509e-09;  3,50296e-09;
00:00:36;     36408;  7,53931e-09;  8,04220e-08;  2,31249e-08;  4,70312e-09;  3,40697e-09;
00:00:37;     37239;  7,53931e-09;  8,04220e-08;  2,24212e-08;  4,59113e-09;  3,64731e-09;
00:00:38;     38070;  7,76387e-09;  7,95490e-08;  2,24212e-08;  4,70312e-09;  3,59894e-09;
00:00:38;     38901;  7,31596e-09;  7,90790e-08;  2,26562e-08;  4,75866e-09;  3,50296e-09;
00:00:39;     39732;  7,68862e-09;  7,88780e-08;  2,22649e-08;  4,59113e-09;  3,35936e-09;
