0000000151;scans;0000000054;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";16:22:58
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Faraday";"mass";43,00;46,00;0,02;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";0;"%"
"electron-energy";70,0;"V"
"emission";1000,000;"uA"
"focus";-90;"V"
"mass";28,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Faraday torr"
0000000001;00:00:01;0000001001;  43,00;  2,97237e-10
0000000001;00:00:01;0000001001;  43,02;  3,42515e-10
0000000001;00:00:01;0000001001;  43,04;  3,46084e-10
0000000001;00:00:01;0000001001;  43,06;  3,65897e-10
0000000001;00:00:01;0000001001;  43,08;  3,53265e-10
0000000001;00:00:01;0000001001;  43,10;  3,98888e-10
0000000001;00:00:01;0000001001;  43,12;  3,68315e-10
0000000001;00:00:01;0000001001;  43,14;  3,27810e-10
0000000001;00:00:01;0000001001;  43,16;  3,55824e-10
0000000001;00:00:01;0000001001;  43,18;  3,88472e-10
0000000001;00:00:01;0000001001;  43,20;  3,87268e-10
0000000001;00:00:01;0000001001;  43,22;  4,23613e-10
0000000001;00:00:01;0000001001;  43,24;  3,97609e-10
0000000001;00:00:01;0000001001;  43,26;  4,45049e-10
0000000001;00:00:01;0000001001;  43,28;  4,71859e-10
0000000001;00:00:01;0000001001;  43,30;  4,70172e-10
0000000001;00:00:01;0000001001;  43,32;  5,20901e-10
0000000001;00:00:01;0000001001;  43,34;  4,68699e-10
0000000001;00:00:01;0000001001;  43,36;  4,18034e-10
0000000001;00:00:01;0000001001;  43,38;  4,54788e-10
0000000001;00:00:01;0000001001;  43,40;  4,87178e-10
0000000001;00:00:01;0000001001;  43,42;  4,47801e-10
0000000001;00:00:01;0000001001;  43,44;  4,07553e-10
0000000001;00:00:01;0000001001;  43,46;  4,63657e-10
0000000001;00:00:01;0000001001;  43,48;  4,78374e-10
0000000001;00:00:01;0000001001;  43,50;  4,71720e-10
0000000001;00:00:01;0000001001;  43,52;  5,30038e-10
0000000001;00:00:01;0000001001;  43,54;  5,37628e-10
0000000001;00:00:01;0000001001;  43,56;  6,16715e-10
0000000001;00:00:01;0000001001;  43,58;  6,16447e-10
0000000001;00:00:01;0000001001;  43,60;  5,88421e-10
0000000001;00:00:01;0000001001;  43,62;  5,36692e-10
0000000001;00:00:01;0000001001;  43,64;  5,75597e-10
0000000001;00:00:01;0000001001;  43,66;  5,87819e-10
0000000001;00:00:01;0000001001;  43,68;  5,64642e-10
0000000001;00:00:01;0000001001;  43,70;  6,13490e-10
0000000001;00:00:01;0000001001;  43,72;  6,06772e-10
0000000001;00:00:01;0000001001;  43,74;  6,62198e-10
0000000001;00:00:01;0000001001;  43,76;  6,74765e-10
0000000001;00:00:01;0000001001;  43,78;  6,93502e-10
0000000001;00:00:01;0000001001;  43,80;  6,84569e-10
0000000001;00:00:01;0000001001;  43,82;  7,31805e-10
0000000001;00:00:01;0000001001;  43,84;  7,81115e-10
0000000001;00:00:01;0000001001;  43,86;  7,80782e-10
0000000001;00:00:01;0000001001;  43,88;  7,49478e-10
0000000001;00:00:01;0000001001;  43,90;  7,52294e-10
0000000001;00:00:01;0000001001;  43,92;  7,77761e-10
0000000001;00:00:01;0000001001;  43,94;  8,25534e-10
0000000001;00:00:01;0000001001;  43,96;  8,23846e-10
0000000001;00:00:01;0000001001;  43,98;  8,81025e-10
0000000001;00:00:01;0000001001;  44,00;  9,30142e-10
0000000001;00:00:01;0000001001;  44,02;  9,94160e-10
0000000001;00:00:01;0000001001;  44,04;  1,01829e-09
0000000001;00:00:01;0000001001;  44,06;  1,04180e-09
0000000001;00:00:01;0000001001;  44,08;  1,08581e-09
0000000001;00:00:01;0000001001;  44,10;  1,07801e-09
0000000001;00:00:01;0000001001;  44,12;  1,05436e-09
0000000001;00:00:01;0000001001;  44,14;  1,07002e-09
0000000001;00:00:01;0000001001;  44,16;  1,05316e-09
0000000001;00:00:01;0000001001;  44,18;  1,10200e-09
0000000001;00:00:01;0000001001;  44,20;  1,06559e-09
0000000001;00:00:01;0000001001;  44,22;  1,10852e-09
0000000001;00:00:01;0000001001;  44,24;  1,10342e-09
0000000001;00:00:01;0000001001;  44,26;  1,11444e-09
0000000001;00:00:01;0000001001;  44,28;  1,05773e-09
0000000001;00:00:01;0000001001;  44,30;  1,06753e-09
0000000001;00:00:01;0000001001;  44,32;  9,78580e-10
0000000001;00:00:01;0000001001;  44,34;  9,07094e-10
0000000001;00:00:01;0000001001;  44,36;  7,98584e-10
0000000001;00:00:01;0000001001;  44,38;  7,22603e-10
0000000001;00:00:01;0000001001;  44,40;  7,11584e-10
0000000001;00:00:01;0000001001;  44,42;  6,27390e-10
0000000001;00:00:01;0000001001;  44,44;  5,97430e-10
0000000001;00:00:01;0000001001;  44,46;  5,81305e-10
0000000001;00:00:01;0000001001;  44,48;  5,63901e-10
0000000001;00:00:01;0000001001;  44,50;  4,48876e-10
0000000001;00:00:01;0000001001;  44,52;  3,76582e-10
0000000001;00:00:01;0000001001;  44,54;  3,02010e-10
0000000001;00:00:01;0000001001;  44,56;  2,63847e-10
0000000001;00:00:01;0000001001;  44,58;  2,37370e-10
0000000001;00:00:01;0000001001;  44,60;  2,22653e-10
0000000001;00:00:01;0000001001;  44,62;  2,30114e-10
0000000001;00:00:01;0000001001;  44,64;  1,87855e-10
0000000001;00:00:01;0000001001;  44,66;  1,93091e-10
0000000001;00:00:01;0000001001;  44,68;  1,68441e-10
0000000001;00:00:01;0000001001;  44,70;  2,33812e-10
0000000001;00:00:01;0000001001;  44,72;  2,40530e-10
0000000001;00:00:01;0000001001;  44,74;  2,35693e-10
0000000001;00:00:01;0000001001;  44,76;  2,47378e-10
0000000001;00:00:01;0000001001;  44,78;  2,20374e-10
0000000001;00:00:01;0000001001;  44,80;  2,62837e-10
0000000001;00:00:01;0000001001;  44,82;  2,68545e-10
0000000001;00:00:01;0000001001;  44,84;  2,18622e-10
0000000001;00:00:01;0000001001;  44,86;  2,06797e-10
0000000001;00:00:01;0000001001;  44,88;  1,80599e-10
0000000001;00:00:01;0000001001;  44,90;  2,10559e-10
0000000001;00:00:01;0000001001;  44,92;  1,67559e-10
0000000001;00:00:01;0000001001;  44,94;  1,97197e-10
0000000001;00:00:01;0000001001;  44,96;  2,04722e-10
0000000001;00:00:01;0000001001;  44,98;  2,31597e-10
0000000001;00:00:01;0000001001;  45,00;  2,53495e-10
0000000001;00:00:01;0000001001;  45,02;  2,89174e-10
0000000001;00:00:01;0000001001;  45,04;  2,96699e-10
0000000001;00:00:01;0000001001;  45,06;  2,62503e-10
0000000001;00:00:01;0000001001;  45,08;  2,76672e-10
0000000001;00:00:01;0000001001;  45,10;  2,07539e-10
0000000001;00:00:01;0000001001;  45,12;  2,39928e-10
0000000001;00:00:01;0000001001;  45,14;  2,08216e-10
0000000001;00:00:01;0000001001;  45,16;  2,06872e-10
0000000001;00:00:01;0000001001;  45,18;  2,25341e-10
0000000001;00:00:01;0000001001;  45,20;  2,62901e-10
0000000001;00:00:01;0000001001;  45,22;  1,93359e-10
0000000001;00:00:01;0000001001;  45,24;  2,41272e-10
0000000001;00:00:01;0000001001;  45,26;  2,35757e-10
0000000001;00:00:01;0000001001;  45,28;  2,53903e-10
0000000001;00:00:01;0000001001;  45,30;  2,50141e-10
0000000001;00:00:01;0000001001;  45,32;  2,15934e-10
0000000001;00:00:01;0000001001;  45,34;  1,86512e-10
0000000001;00:00:01;0000001001;  45,36;  1,79320e-10
0000000001;00:00:01;0000001001;  45,38;  1,60572e-10
0000000001;00:00:01;0000001001;  45,40;  1,33428e-10
0000000001;00:00:01;0000001001;  45,42;  9,62120e-11
0000000001;00:00:01;0000001001;  45,44;  1,17443e-10
0000000001;00:00:01;0000001001;  45,46;  1,41093e-10
0000000001;00:00:01;0000001001;  45,48;  1,31085e-10
0000000001;00:00:01;0000001001;  45,50;  1,03328e-10
0000000001;00:00:01;0000001001;  45,52;  1,07768e-10
0000000001;00:00:01;0000001001;  45,54;  1,20604e-10
0000000001;00:00:01;0000001001;  45,56;  1,27387e-10
0000000001;00:00:01;0000001001;  45,58;  1,08908e-10
0000000001;00:00:01;0000001001;  45,60;  4,29999e-11
0000000001;00:00:01;0000001001;  45,62;  4,55476e-11
0000000001;00:00:01;0000001001;  45,64;  3,27874e-11
0000000001;00:00:01;0000001001;  45,66;  4,09144e-11
