0000000902;scans;0000000054;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";14:14:57
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Total";"mass";10,00;50,00;1,00;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";0;"%"
"electron-energy";70,0;"V"
"emission";1000,000;"uA"
"focus";-90;"V"
"mass";18,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Total torr"
0000000001;00:00:01;0000001002;  10,00;  2,23935e-07
0000000001;00:00:01;0000001002;  11,00;  2,24137e-07
0000000001;00:00:01;0000001002;  12,00;  2,24405e-07
0000000001;00:00:01;0000001002;  13,00;  2,24405e-07
0000000001;00:00:01;0000001002;  14,00;  2,24271e-07
0000000001;00:00:01;0000001002;  15,00;  2,23734e-07
0000000001;00:00:01;0000001002;  16,00;  2,24203e-07
0000000001;00:00:01;0000001002;  17,00;  2,24405e-07
0000000001;00:00:01;0000001002;  18,00;  2,24472e-07
0000000001;00:00:01;0000001002;  19,00;  2,24338e-07
0000000001;00:00:01;0000001002;  20,00;  2,24405e-07
0000000001;00:00:01;0000001002;  21,00;  2,24875e-07
0000000001;00:00:01;0000001002;  22,00;  2,24405e-07
0000000001;00:00:01;0000001002;  23,00;  2,24405e-07
0000000001;00:00:01;0000001002;  24,00;  2,24203e-07
0000000001;00:00:01;0000001002;  25,00;  2,24472e-07
0000000001;00:00:01;0000001002;  26,00;  2,24338e-07
0000000001;00:00:01;0000001002;  27,00;  2,24203e-07
0000000001;00:00:01;0000001002;  28,00;  2,24809e-07
0000000001;00:00:01;0000001002;  29,00;  2,24540e-07
0000000001;00:00:01;0000001002;  30,00;  2,24137e-07
0000000001;00:00:01;0000001002;  31,00;  2,24472e-07
0000000001;00:00:01;0000001002;  32,00;  2,25010e-07
0000000001;00:00:01;0000001002;  33,00;  2,24540e-07
0000000001;00:00:01;0000001002;  34,00;  2,24674e-07
0000000001;00:00:01;0000001002;  35,00;  2,24674e-07
0000000001;00:00:01;0000001002;  36,00;  2,24405e-07
0000000001;00:00:01;0000001002;  37,00;  2,24809e-07
0000000001;00:00:01;0000001002;  38,00;  2,24472e-07
0000000001;00:00:01;0000001002;  39,00;  2,24203e-07
0000000001;00:00:01;0000001002;  40,00;  2,24741e-07
0000000001;00:00:01;0000001002;  41,00;  2,24809e-07
0000000001;00:00:01;0000001002;  42,00;  2,24674e-07
0000000001;00:00:01;0000001002;  43,00;  2,25212e-07
0000000001;00:00:01;0000001002;  44,00;  2,24875e-07
0000000001;00:00:01;0000001002;  45,00;  2,24875e-07
0000000001;00:00:01;0000001002;  46,00;  2,24943e-07
0000000001;00:00:01;0000001002;  47,00;  2,24674e-07
