0000002501;scans;0000000054;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";09:55:55
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Faraday";"mass";10,00;60,00;0,02;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";0;"%"
"electron-energy";70,0;"V"
"emission";1000,000;"uA"
"focus";-90;"V"
"mass";40,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Faraday torr"
0000000001;00:00:01;0000001002;  10,00; -1,34374e-10
0000000001;00:00:01;0000001002;  10,02; -2,68749e-11
0000000001;00:00:01;0000001002;  10,04; -5,37499e-11
0000000001;00:00:01;0000001002;  10,06;  1,61249e-10
0000000001;00:00:01;0000001002;  10,08;  5,37499e-11
0000000001;00:00:01;0000001002;  10,10;  0,00000e+00
0000000001;00:00:01;0000001002;  10,12; -1,34374e-10
0000000001;00:00:01;0000001002;  10,14; -5,37499e-11
0000000001;00:00:01;0000001002;  10,16; -5,37499e-11
0000000001;00:00:01;0000001002;  10,18;  2,68749e-11
0000000001;00:00:01;0000001002;  10,20; -8,06240e-11
0000000001;00:00:01;0000001002;  10,22;  1,07499e-10
0000000001;00:00:01;0000001002;  10,24; -8,06240e-11
0000000001;00:00:01;0000001002;  10,26;  8,06240e-11
0000000001;00:00:01;0000001002;  10,28;  2,68749e-11
0000000001;00:00:01;0000001002;  10,30; -8,06240e-11
0000000001;00:00:01;0000001002;  10,32; -5,37499e-11
0000000001;00:00:01;0000001002;  10,34; -2,68749e-11
0000000001;00:00:01;0000001002;  10,36;  0,00000e+00
0000000001;00:00:01;0000001002;  10,38; -2,68749e-11
0000000001;00:00:01;0000001002;  10,40; -2,68749e-11
0000000001;00:00:01;0000001002;  10,42; -8,06240e-11
0000000001;00:00:01;0000001002;  10,44;  0,00000e+00
0000000001;00:00:01;0000001002;  10,46; -5,37499e-11
0000000001;00:00:01;0000001002;  10,48; -5,37499e-11
0000000001;00:00:01;0000001002;  10,50; -1,07499e-10
0000000001;00:00:01;0000001002;  10,52;  5,37499e-11
0000000001;00:00:01;0000001002;  10,54; -1,34374e-10
0000000001;00:00:01;0000001002;  10,56; -8,06240e-11
0000000001;00:00:01;0000001002;  10,58; -1,34374e-10
0000000001;00:00:01;0000001002;  10,60;  5,37499e-11
0000000001;00:00:01;0000001002;  10,62;  5,37499e-11
0000000001;00:00:01;0000001002;  10,64;  2,68749e-11
0000000001;00:00:01;0000001002;  10,66; -2,68749e-11
0000000001;00:00:01;0000001002;  10,68; -5,37499e-11
0000000001;00:00:01;0000001002;  10,70; -5,37499e-11
0000000001;00:00:01;0000001002;  10,72; -5,37499e-11
0000000001;00:00:01;0000001002;  10,74; -2,68749e-11
0000000001;00:00:01;0000001002;  10,76;  0,00000e+00
0000000001;00:00:01;0000001002;  10,78;  8,06240e-11
0000000001;00:00:01;0000001002;  10,80; -1,07499e-10
0000000001;00:00:01;0000001002;  10,82;  0,00000e+00
0000000001;00:00:01;0000001002;  10,84; -1,88124e-10
0000000001;00:00:01;0000001002;  10,86;  5,37499e-11
0000000001;00:00:01;0000001002;  10,88;  0,00000e+00
0000000001;00:00:01;0000001002;  10,90;  8,06240e-11
0000000001;00:00:01;0000001002;  10,92; -8,06240e-11
0000000001;00:00:01;0000001002;  10,94;  0,00000e+00
0000000001;00:00:01;0000001002;  10,96;  5,37499e-11
0000000001;00:00:01;0000001002;  10,98; -2,68749e-11
0000000001;00:00:01;0000001002;  11,00; -8,06240e-11
0000000001;00:00:01;0000001002;  11,02; -2,68749e-11
0000000001;00:00:01;0000001002;  11,04;  0,00000e+00
0000000001;00:00:01;0000001002;  11,06;  8,06240e-11
0000000001;00:00:01;0000001002;  11,08;  5,37499e-11
0000000001;00:00:01;0000001002;  11,10;  9,94370e-10
0000000001;00:00:01;0000001002;  11,12;  0,00000e+00
0000000001;00:00:01;0000001002;  11,14;  2,14999e-10
0000000001;00:00:01;0000001002;  11,16; -5,37499e-11
0000000001;00:00:01;0000001002;  11,18; -6,44999e-10
0000000001;00:00:01;0000001002;  11,20; -4,29999e-10
0000000001;00:00:01;0000001002;  11,22; -2,68749e-10
0000000001;00:00:01;0000001002;  11,24;  1,07499e-10
0000000001;00:00:01;0000001002;  11,26;  1,61249e-10
0000000001;00:00:01;0000001002;  11,28;  3,76249e-10
0000000001;00:00:01;0000001002;  11,30;  1,61249e-10
0000000001;00:00:01;0000001002;  11,32;  1,07499e-10
0000000001;00:00:01;0000001002;  11,34; -2,41874e-10
0000000001;00:00:01;0000001002;  11,36; -2,95624e-10
0000000001;00:00:01;0000001002;  11,38; -2,14999e-10
0000000001;00:00:01;0000001002;  11,40;  2,68749e-11
0000000001;00:00:01;0000001002;  11,42;  1,88124e-10
0000000001;00:00:01;0000001002;  11,44;  1,61249e-10
0000000001;00:00:01;0000001002;  11,46;  2,14999e-10
0000000001;00:00:01;0000001002;  11,48;  1,07499e-10
