0000000151;scans;0000000054;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";11:11:21
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Faraday";"mass";26,00;29,00;0,02;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";-70;"%"
"electron-energy";70,0;"V"
"emission";1000,000;"uA"
"focus";-90;"V"
"mass";40,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Faraday torr"
0000000001;00:00:01;0000001001;  26,00;  1,07499e-09
0000000001;00:00:01;0000001001;  26,02;  9,13748e-10
0000000001;00:00:01;0000001001;  26,04;  1,12874e-09
0000000001;00:00:01;0000001001;  26,06;  1,04812e-09
0000000001;00:00:01;0000001001;  26,08;  1,23624e-09
0000000001;00:00:01;0000001001;  26,10;  1,12874e-09
0000000001;00:00:01;0000001001;  26,12;  1,34374e-09
0000000001;00:00:01;0000001001;  26,14;  1,28999e-09
0000000001;00:00:01;0000001001;  26,16;  1,37062e-09
0000000001;00:00:01;0000001001;  26,18;  1,28999e-09
0000000001;00:00:01;0000001001;  26,20;  1,39749e-09
0000000001;00:00:01;0000001001;  26,22;  1,58562e-09
0000000001;00:00:01;0000001001;  26,24;  1,63937e-09
0000000001;00:00:01;0000001001;  26,26;  1,77374e-09
0000000001;00:00:01;0000001001;  26,28;  1,69312e-09
0000000001;00:00:01;0000001001;  26,30;  2,12312e-09
0000000001;00:00:01;0000001001;  26,32;  2,09624e-09
0000000001;00:00:01;0000001001;  26,34;  2,36499e-09
0000000001;00:00:01;0000001001;  26,36;  2,31124e-09
0000000001;00:00:01;0000001001;  26,38;  2,71437e-09
0000000001;00:00:01;0000001001;  26,40;  2,71437e-09
