0000000151;scans;0000000054;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";11:56:44
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Faraday";"mass";26,00;29,00;0,02;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";-100;"%"
"electron-energy";70,0;"V"
"emission";1000,000;"uA"
"focus";-90;"V"
"mass";40,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Faraday torr"
0000000001;00:00:01;0000001001;  26,00;  2,25749e-09
0000000001;00:00:01;0000001001;  26,02;  2,49937e-09
0000000001;00:00:01;0000001001;  26,04;  2,55312e-09
0000000001;00:00:01;0000001001;  26,06;  2,66062e-09
0000000001;00:00:01;0000001001;  26,08;  2,87562e-09
0000000001;00:00:01;0000001001;  26,10;  3,09062e-09
0000000001;00:00:01;0000001001;  26,12;  3,41311e-09
0000000001;00:00:01;0000001001;  26,14;  3,54749e-09
0000000001;00:00:01;0000001001;  26,16;  3,84311e-09
0000000001;00:00:01;0000001001;  26,18;  4,40749e-09
0000000001;00:00:01;0000001001;  26,20;  4,48811e-09
0000000001;00:00:01;0000001001;  26,22;  4,72999e-09
0000000001;00:00:01;0000001001;  26,24;  5,02561e-09
0000000001;00:00:01;0000001001;  26,26;  5,32124e-09
0000000001;00:00:01;0000001001;  26,28;  5,72436e-09
0000000001;00:00:01;0000001001;  26,30;  6,47686e-09
0000000001;00:00:01;0000001001;  26,32;  7,17561e-09
0000000001;00:00:01;0000001001;  26,34;  7,84740e-09
0000000001;00:00:01;0000001001;  26,36;  8,43870e-09
0000000001;00:00:01;0000001001;  26,38;  9,37930e-09
0000000001;00:00:01;0000001001;  26,40;  1,04006e-08
0000000001;00:00:01;0000001001;  26,42;  1,16368e-08
0000000001;00:00:01;0000001001;  26,44;  1,31149e-08
0000000001;00:00:01;0000001001;  26,46;  1,45124e-08
0000000001;00:00:01;0000001001;  26,48;  1,59637e-08
0000000001;00:00:01;0000001001;  26,50;  1,73880e-08
0000000001;00:00:01;0000001001;  26,52;  1,84899e-08
0000000001;00:00:01;0000001001;  26,54;  1,94574e-08
0000000001;00:00:01;0000001001;  26,56;  2,05055e-08
0000000001;00:00:01;0000001001;  26,58;  2,16343e-08
0000000001;00:00:01;0000001001;  26,60;  2,28974e-08
0000000001;00:00:01;0000001001;  26,62;  2,40262e-08
0000000001;00:00:01;0000001001;  26,64;  2,55849e-08
0000000001;00:00:01;0000001001;  26,66;  2,72512e-08
0000000001;00:00:01;0000001001;  26,68;  2,88637e-08
0000000001;00:00:01;0000001001;  26,70;  3,12018e-08
0000000001;00:00:01;0000001001;  26,72;  3,39968e-08
0000000001;00:00:01;0000001001;  26,74;  3,70874e-08
0000000001;00:00:01;0000001001;  26,76;  4,04199e-08
0000000001;00:00:01;0000001001;  26,78;  4,46930e-08
0000000001;00:00:01;0000001001;  26,80;  4,99874e-08
0000000001;00:00:01;0000001001;  26,82;  5,65449e-08
0000000001;00:00:01;0000001001;  26,84;  6,45260e-08
0000000001;00:00:01;0000001001;  26,86;  7,36640e-08
0000000001;00:00:01;0000001001;  26,88;  8,57570e-08
0000000001;00:00:01;0000001001;  26,90;  1,00162e-07
0000000001;00:00:01;0000001001;  26,92;  1,17389e-07
0000000001;00:00:01;0000001001;  26,94;  1,36524e-07
0000000001;00:00:01;0000001001;  26,96;  1,56412e-07
0000000001;00:00:01;0000001001;  26,98;  1,79874e-07
0000000001;00:00:01;0000001001;  27,00;  2,05378e-07
0000000001;00:00:01;0000001001;  27,02;  2,32979e-07
0000000001;00:00:01;0000001001;  27,04;  2,61143e-07
0000000001;00:00:01;0000001001;  27,06;  2,87777e-07
0000000001;00:00:01;0000001001;  27,08;  3,16587e-07
0000000001;00:00:01;0000001001;  27,10;  3,45611e-07
0000000001;00:00:01;0000001001;  27,12;  3,74260e-07
0000000001;00:00:01;0000001001;  27,14;  4,00463e-07
0000000001;00:00:01;0000001001;  27,16;  4,23441e-07
0000000001;00:00:01;0000001001;  27,18;  4,46796e-07
0000000001;00:00:01;0000001001;  27,20;  4,69209e-07
0000000001;00:00:01;0000001001;  27,22;  4,89796e-07
0000000001;00:00:01;0000001001;  27,24;  5,08097e-07
0000000001;00:00:01;0000001001;  27,26;  5,23336e-07
0000000001;00:00:01;0000001001;  27,28;  5,39434e-07
0000000001;00:00:01;0000001001;  27,30;  5,53516e-07
0000000001;00:00:01;0000001001;  27,32;  5,66658e-07
0000000001;00:00:01;0000001001;  27,34;  5,78429e-07
0000000001;00:00:01;0000001001;  27,36;  5,87728e-07
0000000001;00:00:01;0000001001;  27,38;  5,96328e-07
0000000001;00:00:01;0000001001;  27,40;  6,03799e-07
0000000001;00:00:01;0000001001;  27,42;  6,11002e-07
0000000001;00:00:01;0000001001;  27,44;  6,17129e-07
0000000001;00:00:01;0000001001;  27,46;  6,21913e-07
0000000001;00:00:01;0000001001;  27,48;  6,25783e-07
0000000001;00:00:01;0000001001;  27,50;  6,29250e-07
0000000001;00:00:01;0000001001;  27,52;  6,31695e-07
0000000001;00:00:01;0000001001;  27,54;  6,32260e-07
0000000001;00:00:01;0000001001;  27,56;  6,32985e-07
0000000001;00:00:01;0000001001;  27,58;  6,33496e-07
0000000001;00:00:01;0000001001;  27,60;  6,32797e-07
0000000001;00:00:01;0000001001;  27,62;  6,30674e-07
0000000001;00:00:01;0000001001;  27,64;  6,29545e-07
0000000001;00:00:01;0000001001;  27,66;  6,27395e-07
0000000001;00:00:01;0000001001;  27,68;  6,23472e-07
0000000001;00:00:01;0000001001;  27,70;  6,19279e-07
0000000001;00:00:01;0000001001;  27,72;  6,14764e-07
0000000001;00:00:01;0000001001;  27,74;  6,10088e-07
0000000001;00:00:01;0000001001;  27,76;  6,05546e-07
0000000001;00:00:01;0000001001;  27,78;  6,00225e-07
0000000001;00:00:01;0000001001;  27,80;  5,94285e-07
0000000001;00:00:01;0000001001;  27,82;  5,87405e-07
0000000001;00:00:01;0000001001;  27,84;  5,81332e-07
0000000001;00:00:01;0000001001;  27,86;  5,74586e-07
0000000001;00:00:01;0000001001;  27,88;  5,65932e-07
0000000001;00:00:01;0000001001;  27,90;  5,56580e-07
0000000001;00:00:01;0000001001;  27,92;  5,46502e-07
0000000001;00:00:01;0000001001;  27,94;  5,35994e-07
0000000001;00:00:01;0000001001;  27,96;  5,25701e-07
0000000001;00:00:01;0000001001;  27,98;  5,14064e-07
0000000001;00:00:01;0000001001;  28,00;  5,01513e-07
0000000001;00:00:01;0000001001;  28,02;  4,88963e-07
0000000001;00:00:01;0000001001;  28,04;  4,79099e-07
0000000001;00:00:01;0000001001;  28,06;  4,72676e-07
0000000001;00:00:01;0000001001;  28,08;  4,67812e-07
0000000001;00:00:01;0000001001;  28,10;  4,61523e-07
0000000001;00:00:01;0000001001;  28,12;  4,52681e-07
0000000001;00:00:01;0000001001;  28,14;  4,42066e-07
0000000001;00:00:01;0000001001;  28,16;  4,31074e-07
0000000001;00:00:01;0000001001;  28,18;  4,18039e-07
0000000001;00:00:01;0000001001;  28,20;  4,03419e-07
0000000001;00:00:01;0000001001;  28,22;  3,87375e-07
0000000001;00:00:01;0000001001;  28,24;  3,71170e-07
0000000001;00:00:01;0000001001;  28,26;  3,55797e-07
0000000001;00:00:01;0000001001;  28,28;  3,38920e-07
0000000001;00:00:01;0000001001;  28,30;  3,21908e-07
0000000001;00:00:01;0000001001;  28,32;  3,04493e-07
0000000001;00:00:01;0000001001;  28,34;  2,87400e-07
0000000001;00:00:01;0000001001;  28,36;  2,71840e-07
0000000001;00:00:01;0000001001;  28,38;  2,54613e-07
0000000001;00:00:01;0000001001;  28,40;  2,36929e-07
0000000001;00:00:01;0000001001;  28,42;  2,18708e-07
0000000001;00:00:01;0000001001;  28,44;  2,00944e-07
0000000001;00:00:01;0000001001;  28,46;  1,84845e-07
0000000001;00:00:01;0000001001;  28,48;  1,68667e-07
0000000001;00:00:01;0000001001;  28,50;  1,52918e-07
0000000001;00:00:01;0000001001;  28,52;  1,36766e-07
0000000001;00:00:01;0000001001;  28,54;  1,20534e-07
0000000001;00:00:01;0000001001;  28,56;  1,05779e-07
0000000001;00:00:01;0000001001;  28,58;  9,03530e-08
0000000001;00:00:01;0000001001;  28,60;  7,58410e-08
0000000001;00:00:01;0000001001;  28,62;  6,31290e-08
0000000001;00:00:01;0000001001;  28,64;  5,26749e-08
0000000001;00:00:01;0000001001;  28,66;  4,45049e-08
0000000001;00:00:01;0000001001;  28,68;  3,66036e-08
0000000001;00:00:01;0000001001;  28,70;  2,84874e-08
0000000001;00:00:01;0000001001;  28,72;  2,07205e-08
0000000001;00:00:01;0000001001;  28,74;  1,62056e-08
0000000001;00:00:01;0000001001;  28,76;  1,46737e-08
0000000001;00:00:01;0000001001;  28,78;  1,41362e-08
0000000001;00:00:01;0000001001;  28,80;  1,42168e-08
0000000001;00:00:01;0000001001;  28,82;  1,46199e-08
0000000001;00:00:01;0000001001;  28,84;  1,51306e-08
0000000001;00:00:01;0000001001;  28,86;  1,58293e-08
0000000001;00:00:01;0000001001;  28,88;  1,67430e-08
0000000001;00:00:01;0000001001;  28,90;  1,77912e-08
0000000001;00:00:01;0000001001;  28,92;  1,89737e-08
0000000001;00:00:01;0000001001;  28,94;  2,01562e-08
0000000001;00:00:01;0000001001;  28,96;  2,14462e-08
0000000001;00:00:01;0000001001;  28,98;  2,27630e-08
0000000001;00:00:01;0000001001;  29,00;  2,43218e-08
