0000000151;scans;0000000054;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";11:22:36
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Faraday";"mass";26,00;29,00;0,02;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";-10;"%"
"electron-energy";70,0;"V"
"emission";1000,000;"uA"
"focus";-90;"V"
"mass";40,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Faraday torr"
0000000001;00:00:01;0000001001;  26,00;  0,00000e+00
0000000001;00:00:01;0000001001;  26,02; -1,07499e-10
0000000001;00:00:01;0000001001;  26,04; -1,07499e-10
0000000001;00:00:01;0000001001;  26,06;  3,22499e-10
0000000001;00:00:01;0000001001;  26,08;  4,29999e-10
0000000001;00:00:01;0000001001;  26,10;  3,22499e-10
0000000001;00:00:01;0000001001;  26,12;  1,07499e-10
0000000001;00:00:01;0000001001;  26,14; -2,14999e-10
0000000001;00:00:01;0000001001;  26,16;  1,07499e-10
0000000001;00:00:01;0000001001;  26,18; -1,07499e-10
0000000001;00:00:01;0000001001;  26,20; -1,07499e-10
0000000001;00:00:01;0000001001;  26,22;  2,14999e-10
0000000001;00:00:01;0000001001;  26,24;  5,37499e-10
0000000001;00:00:01;0000001001;  26,26;  3,22499e-10
0000000001;00:00:01;0000001001;  26,28;  1,07499e-10
0000000001;00:00:01;0000001001;  26,30;  0,00000e+00
0000000001;00:00:01;0000001001;  26,32;  0,00000e+00
0000000001;00:00:01;0000001001;  26,34;  0,00000e+00
0000000001;00:00:01;0000001001;  26,36;  1,07499e-10
0000000001;00:00:01;0000001001;  26,38;  4,29999e-10
0000000001;00:00:01;0000001001;  26,40;  5,37499e-10
0000000001;00:00:01;0000001001;  26,42;  3,22499e-10
0000000001;00:00:01;0000001001;  26,44;  1,07499e-10
0000000001;00:00:01;0000001001;  26,46;  2,14999e-10
0000000001;00:00:01;0000001001;  26,48;  0,00000e+00
0000000001;00:00:01;0000001001;  26,50;  0,00000e+00
0000000001;00:00:01;0000001001;  26,52;  3,22499e-10
0000000001;00:00:01;0000001001;  26,54;  5,37499e-10
0000000001;00:00:01;0000001001;  26,56;  5,37499e-10
0000000001;00:00:01;0000001001;  26,58;  5,37499e-10
0000000001;00:00:01;0000001001;  26,60;  3,22499e-10
0000000001;00:00:01;0000001001;  26,62;  4,29999e-10
0000000001;00:00:01;0000001001;  26,64;  3,22499e-10
0000000001;00:00:01;0000001001;  26,66;  1,07499e-10
0000000001;00:00:01;0000001001;  26,68;  7,52498e-10
0000000001;00:00:01;0000001001;  26,70;  8,59998e-10
0000000001;00:00:01;0000001001;  26,72;  8,59998e-10
0000000001;00:00:01;0000001001;  26,74;  6,44999e-10
0000000001;00:00:01;0000001001;  26,76;  6,44999e-10
0000000001;00:00:01;0000001001;  26,78;  6,44999e-10
0000000001;00:00:01;0000001001;  26,80;  8,59998e-10
0000000001;00:00:01;0000001001;  26,82;  6,44999e-10
0000000001;00:00:01;0000001001;  26,84;  1,18249e-09
0000000001;00:00:01;0000001001;  26,86;  1,39749e-09
0000000001;00:00:01;0000001001;  26,88;  1,39749e-09
0000000001;00:00:01;0000001001;  26,90;  1,28999e-09
0000000001;00:00:01;0000001001;  26,92;  1,18249e-09
0000000001;00:00:01;0000001001;  26,94;  1,39749e-09
0000000001;00:00:01;0000001001;  26,96;  1,61249e-09
0000000001;00:00:01;0000001001;  26,98;  1,61249e-09
0000000001;00:00:01;0000001001;  27,00;  1,93499e-09
0000000001;00:00:01;0000001001;  27,02;  2,68749e-09
0000000001;00:00:01;0000001001;  27,04;  2,36499e-09
0000000001;00:00:01;0000001001;  27,06;  2,47249e-09
0000000001;00:00:01;0000001001;  27,08;  2,47249e-09
0000000001;00:00:01;0000001001;  27,10;  2,68749e-09
0000000001;00:00:01;0000001001;  27,12;  3,00999e-09
0000000001;00:00:01;0000001001;  27,14;  3,22499e-09
0000000001;00:00:01;0000001001;  27,16;  3,54749e-09
0000000001;00:00:01;0000001001;  27,18;  4,08499e-09
0000000001;00:00:01;0000001001;  27,20;  4,29999e-09
0000000001;00:00:01;0000001001;  27,22;  4,40749e-09
