0000000401;scans;0000000053;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";16:26:36
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Faraday";"electron-energy";10,0;50,0;0,1;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";0;"%"
"electron-energy";70,0;"V"
"emission";60,000;"uA"
"focus";-90;"V"
"mass";28,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"electron-energy V";"Faraday torr"
0000000001;00:00:01;0000001002;  10,0; -5,94474e-12
0000000001;00:00:01;0000001002;  10,1; -9,77170e-12
0000000001;00:00:01;0000001002;  10,2; -4,29784e-11
0000000001;00:00:01;0000001002;  10,3; -3,89149e-11
0000000001;00:00:01;0000001002;  10,4; -2,52732e-11
0000000001;00:00:01;0000001002;  10,5; -1,28784e-11
0000000001;00:00:01;0000001002;  10,6; -7,77220e-12
0000000001;00:00:01;0000001002;  10,7; -3,88611e-11
0000000001;00:00:01;0000001002;  10,8; -2,30372e-11
0000000001;00:00:01;0000001002;  10,9; -2,65202e-11
0000000001;00:00:01;0000001002;  11,0; -1,88554e-11
0000000001;00:00:01;0000001002;  11,1; -9,82540e-12
0000000001;00:00:01;0000001002;  11,2;  1,06424e-12
0000000001;00:00:01;0000001002;  11,3; -8,34190e-12
0000000001;00:00:01;0000001002;  11,4; -3,17554e-11
0000000001;00:00:01;0000001002;  11,5; -2,59182e-11
0000000001;00:00:01;0000001002;  11,6; -3,32389e-11
0000000001;00:00:01;0000001002;  11,7;  1,90274e-12
0000000001;00:00:01;0000001002;  11,8; -1,25774e-11
0000000001;00:00:01;0000001002;  11,9; -1,20399e-11
0000000001;00:00:01;0000001002;  12,0;  4,25699e-12
0000000001;00:00:01;0000001002;  12,1; -9,83620e-12
0000000001;00:00:01;0000001002;  12,2;  2,11774e-12
0000000001;00:00:01;0000001002;  12,3; -1,07607e-11
0000000001;00:00:01;0000001002;  12,4; -1,63937e-11
0000000001;00:00:01;0000001002;  12,5; -5,03099e-12
0000000001;00:00:01;0000001002;  12,6; -1,93284e-11
0000000001;00:00:01;0000001002;  12,7; -4,12369e-11
0000000001;00:00:01;0000001002;  12,8;  2,77349e-12
0000000001;00:00:01;0000001002;  12,9; -8,69670e-12
0000000001;00:00:01;0000001002;  13,0; -1,42759e-11
0000000001;00:00:01;0000001002;  13,1;  8,43870e-12
0000000001;00:00:01;0000001002;  13,2; -3,27336e-11
0000000001;00:00:01;0000001002;  13,3;  1,39964e-11
0000000001;00:00:01;0000001002;  13,4; -3,71841e-11
0000000001;00:00:01;0000001002;  13,5; -2,52624e-11
0000000001;00:00:01;0000001002;  13,6; -1,09972e-11
0000000001;00:00:01;0000001002;  13,7; -3,89471e-11
0000000001;00:00:01;0000001002;  13,8;  5,81574e-12
0000000001;00:00:01;0000001002;  13,9; -7,92270e-12
0000000001;00:00:01;0000001002;  14,0; -2,62192e-11
0000000001;00:00:01;0000001002;  14,1;  4,52574e-12
0000000001;00:00:01;0000001002;  14,2; -2,03067e-11
0000000001;00:00:01;0000001002;  14,3; -2,58644e-11
0000000001;00:00:01;0000001002;  14,4; -5,41799e-12
0000000001;00:00:01;0000001002;  14,5; -3,30669e-11
0000000001;00:00:01;0000001002;  14,6; -1,66409e-11
0000000001;00:00:01;0000001002;  14,7; -3,33249e-13
0000000001;00:00:01;0000001002;  14,8; -3,12717e-11
0000000001;00:00:01;0000001002;  14,9; -2,40369e-11
0000000001;00:00:01;0000001002;  15,0; -1,23624e-11
0000000001;00:00:01;0000001002;  15,1; -2,39509e-11
0000000001;00:00:01;0000001002;  15,2; -3,63134e-11
0000000001;00:00:01;0000001002;  15,3; -3,11427e-11
0000000001;00:00:01;0000001002;  15,4; -2,71222e-11
0000000001;00:00:01;0000001002;  15,5; -4,61389e-11
0000000001;00:00:01;0000001002;  15,6; -1,98982e-11
0000000001;00:00:01;0000001002;  15,7; -1,70172e-11
0000000001;00:00:01;0000001002;  15,8; -3,95706e-11
0000000001;00:00:01;0000001002;  15,9; -3,11212e-11
0000000001;00:00:01;0000001002;  16,0; -2,97774e-11
0000000001;00:00:01;0000001002;  16,1; -1,31687e-11
0000000001;00:00:01;0000001002;  16,2; -1,34374e-11
0000000001;00:00:01;0000001002;  16,3; -8,66440e-12
0000000001;00:00:01;0000001002;  16,4; -2,01562e-11
0000000001;00:00:01;0000001002;  16,5; -3,70121e-11
0000000001;00:00:01;0000001002;  16,6; -1,82427e-11
0000000001;00:00:01;0000001002;  16,7; -2,41552e-11
0000000001;00:00:01;0000001002;  16,8; -1,30827e-11
0000000001;00:00:01;0000001002;  16,9; -1,22764e-11
0000000001;00:00:01;0000001002;  17,0;  2,44024e-12
0000000001;00:00:01;0000001002;  17,1; -2,37789e-11
0000000001;00:00:01;0000001002;  17,2; -1,50499e-12
0000000001;00:00:01;0000001002;  17,3;  6,12749e-13
0000000001;00:00:01;0000001002;  17,4; -5,85874e-12
0000000001;00:00:01;0000001002;  17,5;  1,58024e-12
0000000001;00:00:01;0000001002;  17,6;  1,26634e-11
0000000001;00:00:01;0000001002;  17,7;  1,09004e-11
0000000001;00:00:01;0000001002;  17,8; -7,07348e-12
0000000001;00:00:01;0000001002;  17,9; -1,73504e-11
0000000001;00:00:01;0000001002;  18,0; -2,19837e-11
0000000001;00:00:01;0000001002;  18,1; -3,82699e-12
0000000001;00:00:01;0000001002;  18,2; -3,40774e-12
0000000001;00:00:01;0000001002;  18,3; -3,86999e-13
0000000001;00:00:01;0000001002;  18,4; -6,27799e-12
0000000001;00:00:01;0000001002;  18,5;  5,24599e-12
0000000001;00:00:01;0000001002;  18,6;  1,09757e-11
0000000001;00:00:01;0000001002;  18,7;  7,20248e-13
0000000001;00:00:01;0000001002;  18,8;  7,48190e-12
0000000001;00:00:01;0000001002;  18,9;  1,61787e-11
0000000001;00:00:01;0000001002;  19,0;  1,04274e-12
0000000001;00:00:01;0000001002;  19,1;  2,10484e-11
0000000001;00:00:01;0000001002;  19,2;  1,95004e-11
0000000001;00:00:01;0000001002;  19,3; -2,66599e-12
0000000001;00:00:01;0000001002;  19,4;  1,13197e-11
0000000001;00:00:01;0000001002;  19,5; -1,69849e-12
0000000001;00:00:01;0000001002;  19,6;  2,23062e-11
0000000001;00:00:01;0000001002;  19,7;  1,60389e-11
0000000001;00:00:01;0000001002;  19,8;  5,12881e-11
0000000001;00:00:01;0000001002;  19,9;  1,12229e-11
0000000001;00:00:01;0000001002;  20,0;  1,79524e-12
0000000001;00:00:01;0000001002;  20,1;  1,95004e-11
0000000001;00:00:01;0000001002;  20,2;  3,87859e-11
0000000001;00:00:01;0000001002;  20,3;  5,34274e-12
0000000001;00:00:01;0000001002;  20,4;  3,61951e-11
0000000001;00:00:01;0000001002;  20,5;  3,18629e-11
0000000001;00:00:01;0000001002;  20,6;  2,94979e-11
