0000000451;scans;0000000054;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";14:19:54
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Total";"mass";10,00;50,00;1,00;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";0;"%"
"electron-energy";70,0;"V"
"emission";1000,000;"uA"
"focus";-90;"V"
"mass";18,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Total torr"
0000000001;00:00:01;0000001001;  10,00;  8,12960e-08
0000000001;00:00:01;0000001001;  11,00;  8,08930e-08
0000000001;00:00:01;0000001001;  12,00;  8,12960e-08
0000000001;00:00:01;0000001001;  13,00;  8,10280e-08
0000000001;00:00:01;0000001001;  14,00;  8,12960e-08
0000000001;00:00:01;0000001001;  15,00;  8,10950e-08
0000000001;00:00:01;0000001001;  16,00;  8,14980e-08
0000000001;00:00:01;0000001001;  17,00;  8,10950e-08
0000000001;00:00:01;0000001001;  18,00;  8,12960e-08
0000000001;00:00:01;0000001001;  19,00;  8,08260e-08
0000000001;00:00:01;0000001001;  20,00;  8,09610e-08
0000000001;00:00:01;0000001001;  21,00;  8,13640e-08
0000000001;00:00:01;0000001001;  22,00;  8,11620e-08
0000000001;00:00:01;0000001001;  23,00;  8,09610e-08
0000000001;00:00:01;0000001001;  24,00;  8,10950e-08
0000000001;00:00:01;0000001001;  25,00;  8,16330e-08
0000000001;00:00:01;0000001001;  26,00;  8,11620e-08
0000000001;00:00:01;0000001001;  27,00;  8,09610e-08
0000000001;00:00:01;0000001001;  28,00;  8,08930e-08
0000000001;00:00:01;0000001001;  29,00;  8,12300e-08
0000000001;00:00:01;0000001001;  30,00;  8,11620e-08
0000000001;00:00:01;0000001001;  31,00;  8,12960e-08
0000000001;00:00:01;0000001001;  32,00;  8,11620e-08
0000000001;00:00:01;0000001001;  33,00;  8,18340e-08
0000000001;00:00:01;0000001001;  34,00;  8,07590e-08
0000000001;00:00:01;0000001001;  35,00;  8,15650e-08
0000000001;00:00:01;0000001001;  36,00;  8,10280e-08
0000000001;00:00:01;0000001001;  37,00;  8,15650e-08
0000000001;00:00:01;0000001001;  38,00;  8,12960e-08
0000000001;00:00:01;0000001001;  39,00;  8,14980e-08
0000000001;00:00:01;0000001001;  40,00;  8,16330e-08
0000000001;00:00:01;0000001001;  41,00;  8,14980e-08
0000000001;00:00:01;0000001001;  42,00;  8,14980e-08
0000000001;00:00:01;0000001001;  43,00;  8,13640e-08
0000000001;00:00:01;0000001001;  44,00;  8,17670e-08
0000000001;00:00:01;0000001001;  45,00;  8,21030e-08
0000000001;00:00:01;0000001001;  46,00;  8,11620e-08
0000000001;00:00:01;0000001001;  47,00;  8,12300e-08
0000000001;00:00:01;0000001001;  48,00;  8,20360e-08
0000000001;00:00:01;0000001001;  49,00;  8,10950e-08
0000000001;00:00:01;0000001001;  50,00;  8,16330e-08
0000000002;00:00:01;0000001907;  10,00;  7,81630e-08
0000000002;00:00:01;0000001907;  11,00;  7,90550e-08
0000000002;00:00:01;0000001907;  12,00;  7,92480e-08
0000000002;00:00:01;0000001907;  13,00;  7,93560e-08
0000000002;00:00:01;0000001907;  14,00;  7,94850e-08
0000000002;00:00:01;0000001907;  15,00;  7,96140e-08
0000000002;00:00:01;0000001907;  16,00;  7,97210e-08
0000000002;00:00:01;0000001907;  17,00;  7,98180e-08
0000000002;00:00:01;0000001907;  18,00;  8,00120e-08
0000000002;00:00:01;0000001907;  19,00;  8,00120e-08
0000000002;00:00:01;0000001907;  20,00;  8,01080e-08
0000000002;00:00:01;0000001907;  21,00;  8,02700e-08
0000000002;00:00:01;0000001907;  22,00;  8,02700e-08
0000000002;00:00:01;0000001907;  23,00;  8,04090e-08
0000000002;00:00:01;0000001907;  24,00;  8,04740e-08
0000000002;00:00:01;0000001907;  25,00;  8,05380e-08
0000000002;00:00:01;0000001907;  26,00;  8,06570e-08
0000000002;00:00:01;0000001907;  27,00;  8,07100e-08
0000000002;00:00:01;0000001907;  28,00;  8,07430e-08
0000000002;00:00:01;0000001907;  29,00;  8,07750e-08
0000000002;00:00:01;0000001907;  30,00;  8,08720e-08
0000000002;00:00:01;0000001907;  31,00;  8,09360e-08
0000000002;00:00:01;0000001907;  32,00;  8,09470e-08
0000000002;00:00:01;0000001907;  33,00;  8,10540e-08
0000000002;00:00:01;0000001907;  34,00;  8,09900e-08
0000000002;00:00:01;0000001907;  35,00;  8,10870e-08
0000000002;00:00:01;0000001907;  36,00;  8,11300e-08
0000000002;00:00:01;0000001907;  37,00;  8,11080e-08
0000000002;00:00:01;0000001907;  38,00;  8,12260e-08
0000000002;00:00:01;0000001907;  39,00;  8,12160e-08
0000000002;00:00:01;0000001907;  40,00;  8,12370e-08
0000000002;00:00:01;0000001907;  41,00;  8,13120e-08
0000000002;00:00:01;0000001907;  42,00;  8,13120e-08
0000000002;00:00:01;0000001907;  43,00;  8,12910e-08
0000000002;00:00:01;0000001907;  44,00;  8,13550e-08
0000000002;00:00:01;0000001907;  45,00;  8,13450e-08
0000000002;00:00:01;0000001907;  46,00;  8,14200e-08
0000000002;00:00:01;0000001907;  47,00;  8,13880e-08
0000000002;00:00:01;0000001907;  48,00;  8,14090e-08
0000000002;00:00:01;0000001907;  49,00;  8,13660e-08
0000000002;00:00:01;0000001907;  50,00;  8,13770e-08
0000000003;00:00:11;0000011792;  10,00;  8,03660e-08
0000000003;00:00:11;0000011792;  11,00;  8,10650e-08
0000000003;00:00:11;0000011792;  12,00;  8,11940e-08
0000000003;00:00:11;0000011792;  13,00;  8,13340e-08
0000000003;00:00:11;0000011792;  14,00;  8,13230e-08
0000000003;00:00:11;0000011792;  15,00;  8,13660e-08
0000000003;00:00:11;0000011792;  16,00;  8,14310e-08
0000000003;00:00:11;0000011792;  17,00;  8,14090e-08
0000000003;00:00:11;0000011792;  18,00;  8,14630e-08
0000000003;00:00:11;0000011792;  19,00;  8,14630e-08
0000000003;00:00:11;0000011792;  20,00;  8,14520e-08
0000000003;00:00:11;0000011792;  21,00;  8,14630e-08
0000000003;00:00:11;0000011792;  22,00;  8,14740e-08
0000000003;00:00:11;0000011792;  23,00;  8,15170e-08
0000000003;00:00:11;0000011792;  24,00;  8,15170e-08
0000000003;00:00:11;0000011792;  25,00;  8,15700e-08
0000000003;00:00:11;0000011792;  26,00;  8,14840e-08
