0000000123;scans;0000000054;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";14:26:32
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Total";"mass";10,00;50,00;1,00;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";0;"%"
"electron-energy";70,0;"V"
"emission";1000,000;"uA"
"focus";-90;"V"
"mass";18,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Total torr"
0000000001;00:00:01;0000001002;  10,00;  3,83344e-08
0000000001;00:00:01;0000001002;  11,00;  3,87751e-08
0000000001;00:00:01;0000001002;  12,00;  3,87966e-08
0000000001;00:00:01;0000001002;  13,00;  3,87966e-08
0000000001;00:00:01;0000001002;  14,00;  3,89364e-08
0000000001;00:00:01;0000001002;  15,00;  3,89041e-08
0000000001;00:00:01;0000001002;  16,00;  3,89041e-08
0000000001;00:00:01;0000001002;  17,00;  3,89364e-08
0000000001;00:00:01;0000001002;  18,00;  3,89364e-08
0000000001;00:00:01;0000001002;  19,00;  3,89794e-08
0000000001;00:00:01;0000001002;  20,00;  3,90009e-08
0000000001;00:00:01;0000001002;  21,00;  3,90224e-08
0000000001;00:00:01;0000001002;  22,00;  3,89794e-08
0000000001;00:00:01;0000001002;  23,00;  3,90224e-08
0000000001;00:00:01;0000001002;  24,00;  3,90546e-08
0000000001;00:00:01;0000001002;  25,00;  3,90224e-08
0000000001;00:00:01;0000001002;  26,00;  3,90976e-08
0000000001;00:00:01;0000001002;  27,00;  3,90654e-08
0000000001;00:00:01;0000001002;  28,00;  3,90761e-08
0000000001;00:00:01;0000001002;  29,00;  3,91514e-08
0000000001;00:00:01;0000001002;  30,00;  3,91084e-08
0000000001;00:00:01;0000001002;  31,00;  3,91299e-08
0000000001;00:00:01;0000001002;  32,00;  3,91514e-08
0000000001;00:00:01;0000001002;  33,00;  3,91191e-08
0000000001;00:00:01;0000001002;  34,00;  3,91729e-08
0000000001;00:00:01;0000001002;  35,00;  3,91729e-08
0000000001;00:00:01;0000001002;  36,00;  3,91729e-08
0000000001;00:00:01;0000001002;  37,00;  3,91191e-08
0000000001;00:00:01;0000001002;  38,00;  3,91406e-08
0000000001;00:00:01;0000001002;  39,00;  3,91729e-08
0000000001;00:00:01;0000001002;  40,00;  3,91729e-08
0000000001;00:00:01;0000001002;  41,00;  3,92159e-08
0000000001;00:00:01;0000001002;  42,00;  3,91621e-08
0000000001;00:00:01;0000001002;  43,00;  3,91621e-08
0000000001;00:00:01;0000001002;  44,00;  3,92481e-08
0000000001;00:00:01;0000001002;  45,00;  3,91836e-08
0000000001;00:00:01;0000001002;  46,00;  3,92266e-08
0000000001;00:00:01;0000001002;  47,00;  3,92374e-08
0000000001;00:00:01;0000001002;  48,00;  3,92051e-08
0000000001;00:00:01;0000001002;  49,00;  3,92696e-08
0000000001;00:00:01;0000001002;  50,00;  3,92589e-08
0000000002;00:00:10;0000010887;  10,00;  3,87321e-08
0000000002;00:00:10;0000010887;  11,00;  3,91084e-08
0000000002;00:00:10;0000010887;  12,00;  3,91406e-08
0000000002;00:00:10;0000010887;  13,00;  3,92051e-08
0000000002;00:00:10;0000010887;  14,00;  3,91406e-08
0000000002;00:00:10;0000010887;  15,00;  3,91729e-08
0000000002;00:00:10;0000010887;  16,00;  3,92051e-08
0000000002;00:00:10;0000010887;  17,00;  3,91621e-08
0000000002;00:00:10;0000010887;  18,00;  3,92266e-08
0000000002;00:00:10;0000010887;  19,00;  3,92374e-08
0000000002;00:00:10;0000010887;  20,00;  3,92051e-08
0000000002;00:00:10;0000010887;  21,00;  3,93019e-08
0000000002;00:00:10;0000010887;  22,00;  3,92266e-08
0000000002;00:00:10;0000010887;  23,00;  3,92481e-08
0000000002;00:00:10;0000010887;  24,00;  3,92911e-08
0000000002;00:00:10;0000010887;  25,00;  3,92589e-08
0000000002;00:00:10;0000010887;  26,00;  3,92911e-08
0000000002;00:00:10;0000010887;  27,00;  3,92589e-08
0000000002;00:00:10;0000010887;  28,00;  3,93019e-08
0000000002;00:00:10;0000010887;  29,00;  3,92589e-08
0000000002;00:00:10;0000010887;  30,00;  3,92911e-08
0000000002;00:00:10;0000010887;  31,00;  3,92911e-08
0000000002;00:00:10;0000010887;  32,00;  3,92804e-08
0000000002;00:00:10;0000010887;  33,00;  3,93341e-08
0000000002;00:00:10;0000010887;  34,00;  3,92911e-08
0000000002;00:00:10;0000010887;  35,00;  3,92911e-08
0000000002;00:00:10;0000010887;  36,00;  3,93449e-08
0000000002;00:00:10;0000010887;  37,00;  3,93019e-08
0000000002;00:00:10;0000010887;  38,00;  3,93449e-08
0000000002;00:00:10;0000010887;  39,00;  3,93449e-08
0000000002;00:00:10;0000010887;  40,00;  3,93234e-08
0000000002;00:00:10;0000010887;  41,00;  3,93664e-08
0000000002;00:00:10;0000010887;  42,00;  3,93556e-08
0000000002;00:00:10;0000010887;  43,00;  3,93449e-08
0000000002;00:00:10;0000010887;  44,00;  3,93019e-08
0000000002;00:00:10;0000010887;  45,00;  3,93341e-08
0000000002;00:00:10;0000010887;  46,00;  3,93664e-08
0000000002;00:00:10;0000010887;  47,00;  3,93234e-08
0000000002;00:00:10;0000010887;  48,00;  3,94094e-08
0000000002;00:00:10;0000010887;  49,00;  3,92911e-08
0000000002;00:00:10;0000010887;  50,00;  3,93664e-08
0000000003;00:00:17;0000017771;  10,00;  3,88504e-08
0000000003;00:00:17;0000017771;  11,00;  3,91621e-08
0000000003;00:00:17;0000017771;  12,00;  3,92911e-08
0000000003;00:00:17;0000017771;  13,00;  3,93234e-08
0000000003;00:00:17;0000017771;  14,00;  3,93019e-08
0000000003;00:00:17;0000017771;  15,00;  3,92911e-08
0000000003;00:00:17;0000017771;  16,00;  3,93234e-08
0000000003;00:00:17;0000017771;  17,00;  3,93019e-08
0000000003;00:00:17;0000017771;  18,00;  3,93771e-08
0000000003;00:00:17;0000017771;  19,00;  3,93234e-08
0000000003;00:00:17;0000017771;  20,00;  3,93449e-08
0000000003;00:00:17;0000017771;  21,00;  3,92589e-08
0000000003;00:00:17;0000017771;  22,00;  3,93449e-08
0000000003;00:00:17;0000017771;  23,00;  3,93449e-08
0000000003;00:00:17;0000017771;  24,00;  3,93234e-08
0000000003;00:00:17;0000017771;  25,00;  3,94094e-08
0000000003;00:00:17;0000017771;  26,00;  3,93449e-08
0000000003;00:00:17;0000017771;  27,00;  3,93449e-08
0000000003;00:00:17;0000017771;  28,00;  3,94094e-08
0000000003;00:00:17;0000017771;  29,00;  3,93449e-08
0000000003;00:00:17;0000017771;  30,00;  3,93879e-08
0000000003;00:00:17;0000017771;  31,00;  3,94201e-08
0000000003;00:00:17;0000017771;  32,00;  3,93664e-08
0000000003;00:00:17;0000017771;  33,00;  3,94309e-08
0000000003;00:00:17;0000017771;  34,00;  3,94094e-08
0000000003;00:00:17;0000017771;  35,00;  3,93771e-08
0000000003;00:00:17;0000017771;  36,00;  3,93879e-08
0000000003;00:00:17;0000017771;  37,00;  3,94201e-08
0000000003;00:00:17;0000017771;  38,00;  3,94201e-08
0000000003;00:00:17;0000017771;  39,00;  3,93986e-08
0000000003;00:00:17;0000017771;  40,00;  3,94309e-08
0000000003;00:00:17;0000017771;  41,00;  3,93664e-08
0000000003;00:00:17;0000017771;  42,00;  3,93771e-08
0000000003;00:00:17;0000017771;  43,00;  3,94094e-08
0000000003;00:00:17;0000017771;  44,00;  3,93556e-08
