0000001251;scans;0000000054;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";15:27:10
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Faraday";"mass";10,00;60,00;0,04;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";0;"%"
"electron-energy";70,0;"V"
"emission";1000,000;"uA"
"focus";-90;"V"
"mass";40,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Faraday torr"
0000000001;00:00:01;0000001001;  10,00; -2,41874e-10
0000000001;00:00:01;0000001001;  10,04;  3,49374e-10
0000000001;00:00:01;0000001001;  10,08; -2,68749e-11
0000000001;00:00:01;0000001001;  10,12; -1,34374e-10
0000000001;00:00:01;0000001001;  10,16;  3,76249e-10
0000000001;00:00:01;0000001001;  10,20; -2,68749e-11
0000000001;00:00:01;0000001001;  10,24;  0,00000e+00
0000000001;00:00:01;0000001001;  10,28;  5,10624e-10
0000000001;00:00:01;0000001001;  10,32; -5,37499e-11
0000000001;00:00:01;0000001001;  10,36;  1,07499e-10
0000000001;00:00:01;0000001001;  10,40;  3,22499e-10
0000000001;00:00:01;0000001001;  10,44; -1,88124e-10
0000000001;00:00:01;0000001001;  10,48;  5,37499e-11
0000000001;00:00:01;0000001001;  10,52;  1,88124e-10
0000000001;00:00:01;0000001001;  10,56; -2,14999e-10
0000000001;00:00:01;0000001001;  10,60;  1,61249e-10
0000000001;00:00:01;0000001001;  10,64;  5,37499e-11
0000000001;00:00:01;0000001001;  10,68; -2,95624e-10
0000000001;00:00:01;0000001001;  10,72;  2,41874e-10
0000000001;00:00:01;0000001001;  10,76;  2,68749e-11
0000000001;00:00:01;0000001001;  10,80; -1,34374e-10
0000000001;00:00:01;0000001001;  10,84;  2,95624e-10
0000000001;00:00:01;0000001001;  10,88; -8,06240e-11
0000000001;00:00:01;0000001001;  10,92; -1,07499e-10
0000000001;00:00:01;0000001001;  10,96;  4,29999e-10
0000000001;00:00:01;0000001001;  11,00;  0,00000e+00
0000000001;00:00:01;0000001001;  11,04; -2,68749e-11
0000000001;00:00:01;0000001001;  11,08;  4,83749e-10
0000000001;00:00:01;0000001001;  11,12; -1,07499e-10
0000000001;00:00:01;0000001001;  11,16;  2,68749e-11
0000000001;00:00:01;0000001001;  11,20;  3,49374e-10
0000000001;00:00:01;0000001001;  11,24; -1,88124e-10
0000000001;00:00:01;0000001001;  11,28;  1,34374e-10
0000000001;00:00:01;0000001001;  11,32;  2,68749e-10
0000000001;00:00:01;0000001001;  11,36; -2,41874e-10
0000000001;00:00:01;0000001001;  11,40;  2,41874e-10
0000000001;00:00:01;0000001001;  11,44;  1,07499e-10
0000000001;00:00:01;0000001001;  11,48; -2,41874e-10
0000000001;00:00:01;0000001001;  11,52;  3,22499e-10
0000000001;00:00:01;0000001001;  11,56;  8,06240e-11
0000000001;00:00:01;0000001001;  11,60; -1,07499e-10
0000000001;00:00:01;0000001001;  11,64;  5,10624e-10
0000000001;00:00:01;0000001001;  11,68;  1,34374e-10
0000000001;00:00:01;0000001001;  11,72; -2,68749e-11
0000000001;00:00:01;0000001001;  11,76;  6,44999e-10
0000000001;00:00:01;0000001001;  11,80;  1,07499e-10
0000000001;00:00:01;0000001001;  11,84;  1,07499e-10
0000000001;00:00:01;0000001001;  11,88;  5,64374e-10
0000000001;00:00:01;0000001001;  11,92; -5,37499e-11
0000000001;00:00:01;0000001001;  11,96;  1,34374e-10
0000000001;00:00:01;0000001001;  12,00;  5,37499e-10
0000000001;00:00:01;0000001001;  12,04; -2,68749e-11
0000000001;00:00:01;0000001001;  12,08;  2,14999e-10
0000000001;00:00:01;0000001001;  12,12;  3,22499e-10
0000000001;00:00:01;0000001001;  12,16; -1,61249e-10
0000000001;00:00:01;0000001001;  12,20;  2,95624e-10
0000000001;00:00:01;0000001001;  12,24;  2,95624e-10
0000000001;00:00:01;0000001001;  12,28; -2,68749e-11
0000000001;00:00:01;0000001001;  12,32;  4,83749e-10
0000000001;00:00:01;0000001001;  12,36;  1,88124e-10
0000000001;00:00:01;0000001001;  12,40; -8,06240e-11
0000000001;00:00:01;0000001001;  12,44;  5,37499e-10
0000000001;00:00:01;0000001001;  12,48;  1,07499e-10
0000000001;00:00:01;0000001001;  12,52; -2,68749e-11
0000000001;00:00:01;0000001001;  12,56;  5,64374e-10
0000000001;00:00:01;0000001001;  12,60;  8,06240e-11
0000000001;00:00:01;0000001001;  12,64;  1,07499e-10
0000000001;00:00:01;0000001001;  12,68;  6,18124e-10
0000000001;00:00:01;0000001001;  12,72;  5,37499e-10
0000000001;00:00:01;0000001001;  12,76; -5,37499e-11
0000000001;00:00:01;0000001001;  12,80;  2,68749e-10
0000000001;00:00:01;0000001001;  12,84; -3,22499e-10
0000000001;00:00:01;0000001001;  12,88;  2,14999e-10
