0000001251;scans;0000000054;DataLength
"header";0000000019;"lines"
"Date";28.11.2022;"Time";15:08:34
"ID";"HAL 7 RC RGA 100 #13407";"Version";4
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"Faraday";"mass";10,00;60,00;0,04;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";0;"%"
"electron-energy";70,0;"V"
"emission";1000,000;"uA"
"focus";-90;"V"
"mass";40,00;"amu"
"mode-change-delay";1000;"ms"
"resolution";0;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"Faraday torr"
0000000001;00:00:01;0000001001;  10,00;  4,61174e-12
0000000001;00:00:01;0000001001;  10,04; -6,35324e-12
0000000001;00:00:01;0000001001;  10,08;  4,84824e-12
0000000001;00:00:01;0000001001;  10,12;  1,16744e-11
0000000001;00:00:01;0000001001;  10,16; -4,89124e-12
0000000001;00:00:01;0000001001;  10,20;  1,41362e-11
0000000001;00:00:01;0000001001;  10,24;  7,68620e-12
0000000001;00:00:01;0000001001;  10,28;  3,11212e-11
0000000001;00:00:01;0000001001;  10,32; -8,29890e-12
0000000001;00:00:01;0000001001;  10,36; -1,04167e-11
0000000001;00:00:01;0000001001;  10,40;  1,54692e-11
0000000001;00:00:01;0000001001;  10,44; -1,92317e-11
0000000001;00:00:01;0000001001;  10,48; -5,15999e-12
0000000001;00:00:01;0000001001;  10,52; -2,57999e-13
0000000001;00:00:01;0000001001;  10,56; -6,11674e-12
0000000001;00:00:01;0000001001;  10,60; -6,32099e-12
0000000001;00:00:01;0000001001;  10,64;  1,24807e-11
0000000001;00:00:01;0000001001;  10,68; -3,52599e-12
0000000001;00:00:01;0000001001;  10,72;  1,06317e-11
0000000001;00:00:01;0000001001;  10,76;  1,68774e-12
0000000001;00:00:01;0000001001;  10,80;  1,01909e-11
0000000001;00:00:01;0000001001;  10,84; -1,17497e-11
0000000001;00:00:01;0000001001;  10,88;  1,25452e-11
0000000001;00:00:01;0000001001;  10,92;  2,51442e-11
0000000001;00:00:01;0000001001;  10,96; -1,41469e-11
0000000001;00:00:01;0000001001;  11,00; -1,03629e-11
0000000001;00:00:01;0000001001;  11,04;  1,61679e-11
0000000001;00:00:01;0000001001;  11,08; -1,06209e-11
0000000001;00:00:01;0000001001;  11,12; -1,48134e-11
0000000001;00:00:01;0000001001;  11,16; -5,22449e-12
0000000001;00:00:01;0000001001;  11,20; -6,98748e-12
0000000001;00:00:01;0000001001;  11,24; -1,23839e-11
0000000001;00:00:01;0000001001;  11,28; -8,94390e-12
0000000001;00:00:01;0000001001;  11,32;  1,73612e-11
0000000001;00:00:01;0000001001;  11,36;  6,22424e-12
0000000001;00:00:01;0000001001;  11,40; -2,48002e-11
0000000001;00:00:01;0000001001;  11,44;  3,14974e-12
0000000001;00:00:01;0000001001;  11,48; -4,97724e-12
0000000001;00:00:01;0000001001;  11,52; -3,86999e-12
0000000001;00:00:01;0000001001;  11,56;  1,79739e-11
0000000001;00:00:01;0000001001;  11,60; -1,11262e-11
0000000001;00:00:01;0000001001;  11,64; -2,43379e-11
0000000001;00:00:01;0000001001;  11,68;  2,29404e-11
0000000001;00:00:01;0000001001;  11,72; -3,37119e-11
0000000001;00:00:01;0000001001;  11,76; -3,42924e-12
0000000001;00:00:01;0000001001;  11,80;  2,99602e-11
0000000001;00:00:01;0000001001;  11,84;  1,04274e-12
0000000001;00:00:01;0000001001;  11,88; -5,26749e-13
0000000001;00:00:01;0000001001;  11,92;  2,62299e-11
0000000001;00:00:01;0000001001;  11,96;  2,65524e-12
0000000001;00:00:01;0000001001;  12,00;  1,70924e-12
0000000001;00:00:01;0000001001;  12,04;  3,59049e-11
0000000001;00:00:01;0000001001;  12,08;  1,15239e-11
0000000001;00:00:01;0000001001;  12,12;  1,84899e-12
0000000001;00:00:01;0000001001;  12,16; -1,43834e-11
0000000001;00:00:01;0000001001;  12,20;  8,69670e-12
