pressure	g1_amplitude	g1_amplitudeerr	g2_amplitude	g2_amplitudeerr	g3_amplitude	g3_amplitudeerr	g4_amplitude	g4_amplitudeerr
055	36610.8199330615	758.5896156730854	35731.82156347277	988.5423870147343	25973.727943731345	456.99979479215807	23905.4504330639	249.16719822411426
075	27014.9925221205	661.3622334915108	45710.137266993544	820.6034495759131	23716.56920328985	403.7283495086484	23826.62224940627	188.91050555019982
100	28277.90076611737	959.0255961886338	44509.65826082973	908.259320607135	24348.198661516075	400.75554948238306	23932.984179181527	235.76748654844866
125	none	none	none	none	28337.492190262918	320.2086171778047	23754.28187966099	248.60657803970042
150	none	none	none	none	26376.47364028827	297.71647941321083	24003.64248976021	250.99928186638132
175	none	none	none	none	28439.06556702894	341.37708815048165	23544.295032861155	255.5011448009832
200	none	none	none	none	28696.570123554062	283.8835987371261	23439.993416523317	267.8112621794503
225	none	none	none	none	none	none	24107.33246078338	262.34741146317555
250	none	none	none	none	none	none	23685.69264897349	248.62104160919134
275	none	none	none	none	none	none	23794.950199373743	278.3103003360808
300	none	none	none	none	none	none	23648.865344150658	251.75769049470654
325	none	none	none	none	none	none	24012.55841780595	221.41099476574692
350	none	none	none	none	none	none	23919.313726863875	216.69995613082645
375	none	none	none	none	none	none	23485.46093311402	150.49805776382112
400	none	none	none	none	none	none	23164.45332664075	184.33085595062607
